"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PSENELSE","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","SCHOOL-URNS"
"SP00003",2054,"School sponsor","Academies Enterprise Trust (AET)","National Sponsor Unit",32,32,1344,15.6,49.5,50.5,2.7,34.3,7,25,0,0,32,3,0.1,-0.3,0.4,"0","-0.4","0.5","0.1","-0.4","0.6",2,0.6,0.3,1,"0.7","0.3","1.1","0.6","0.1","1","2","0.8","0.5","1.1","0.7","0.3","1.1","1","0.6","1.4",0,-0.3,0.4,"0","-0.5","0.5","0.1","-0.4","0.5",0.6,0.3,0.9,"0.7","0.2","1.1","0.6","0.1","1","0.8","0.5","1.1","0.6","0.2","1.1","0.9","0.5","1.4","137378, 137381, 137405, 138072, 138074, 138117, 138369, 138410, 138440, 138588, 138589, 138674, 138677, 138678, 138679, 138782, 138786, 138854, 138864, 138867, 138973, 138982, 139003, 139004, 139005, 139006, 139131, 139132, 139207, 139476, 139868, 139885"
"TR00015",2062,"Multi-academy trust","ACADEMY TRANSFORMATION TRUST","East of England and North East London",7,7,227,15,48.5,51.5,1.8,10.6,2,5,0,2,5,3,-0.5,-1.3,0.3,"-0.6","-1.7","0.5","-0.3","-1.5","0.8",3,0.7,0,1.5,"0","-1.1","1.1","1.5","0.4","2.6","3","-0.2","-0.9","0.5","-0.3","-1.3","0.7","-0.1","-1.1","1",-0.5,-1.3,0.3,"-0.6","-1.8","0.6","-0.3","-1.5","0.8",0.7,0,1.5,"0","-1.1","1.1","1.5","0.4","2.6","-0.2","-0.9","0.5","-0.3","-1.4","0.8","-0.1","-1.1","1","138540, 138996, 139058, 139226, 139641, 142027, 142194"
"TR03028",2071,"Multi-academy trust","ACORN MULTI ACADEMY TRUST","South West",5,4,80,16.3,21.3,78.8,0,1.3,5,0,0,5,0,3,0.3,-1.1,1.6,"-1.3","-4.5","1.8","0.7","-0.8","2.2",3,0.4,-0.9,1.6,"2","-0.9","4.9","0","-1.5","1.4","3","-0.8","-2","0.5","-0.4","-3.2","2.5","-0.8","-2.2","0.6",0.2,-1.1,1.6,"-1.3","-4.5","1.9","0.7","-0.9","2.2",0.4,-1,1.7,"2","-1","4.9","0","-1.5","1.4","-0.8","-2","0.5","-0.4","-3.3","2.5","-0.8","-2.2","0.6","141523, 141524, 141525, 141527, 142250"
"TR02658",2081,"Multi-academy trust","ADVENTURE LEARNING ACADEMY TRUST","South West",4,4,112,15.7,26.8,73.2,2.7,0,0,4,0,1,3,3,-0.1,-1.2,1,"-1.2","-3.4","0.9","0.3","-1","1.6",3,0.8,-0.2,1.9,"1","-1","3.1","0.8","-0.5","2","3","-1","-2","0","-1.8","-3.7","0.2","-0.7","-1.9","0.5",-0.1,-1.3,1,"-1.2","-3.4","0.9","0.3","-1","1.6",0.8,-0.2,1.9,"1","-1.1","3.1","0.8","-0.5","2.1","-1","-2","0","-1.8","-3.8","0.2","-0.7","-1.9","0.5","140837, 140838, 140839, 141616"
"TR00048",2112,"Multi-academy trust","ALL SAINTS CATHOLIC COLLEGIATE","West Midlands",4,4,138,16.5,26.8,73.2,1.4,13.8,4,0,0,0,4,3,0.2,-0.8,1.2,"0.5","-1.5","2.4","0.1","-1.1","1.3",3,-0.4,-1.4,0.5,"-0.4","-2.2","1.5","-0.5","-1.6","0.7","3","0.3","-0.6","1.2","-0.3","-2.1","1.4","0.6","-0.5","1.6",0.2,-0.8,1.2,"0.5","-1.5","2.4","0.1","-1.1","1.3",-0.4,-1.4,0.5,"-0.4","-2.2","1.5","-0.5","-1.6","0.7","0.3","-0.6","1.3","-0.3","-2.1","1.5","0.6","-0.5","1.6","140287, 140296, 140297, 140298"
"TR03329",15787,"Multi-academy trust","AMADEUS PRIMARY ACADEMIES  TRUST","South East and South London",4,4,234,17.8,11.5,88.5,0.4,12.4,4,0,0,4,0,3,0.3,-0.5,1,"0.8","-1.5","3.1","0.2","-0.6","1",3,0.4,-0.3,1.2,"1.5","-0.7","3.7","0.3","-0.5","1.1","3","0.3","-0.4","1","1.8","-0.3","3.9","0.1","-0.6","0.9",0.2,-0.5,1,"0.8","-1.5","3.1","0.1","-0.7","1",0.4,-0.3,1.2,"1.5","-0.7","3.8","0.3","-0.5","1.1","0.3","-0.4","1","1.8","-0.3","3.9","0.1","-0.6","0.9","142228, 142229, 142294, 142295"
"TR02316",2128,"Multi-academy trust","AMBITIONS ACADEMIES TRUST","South West",3,3,232,16,35.8,64.2,1.7,26.7,0,3,0,2,1,3,0.4,-0.4,1.2,"-0.9","-2.2","0.5","1.1","0.1","2",2,1.7,1,2.5,"0.9","-0.3","2.2","2.2","1.3","3.2","3","0.5","-0.3","1.2","-0.3","-1.6","0.9","0.9","0","1.8",0.4,-0.4,1.2,"-0.9","-2.2","0.5","1","0","2.1",1.7,1,2.5,"0.9","-0.4","2.2","2.2","1.3","3.2","0.5","-0.3","1.2","-0.3","-1.6","0.9","0.9","0","1.8","138860, 141671, 141745"
"TR00322",2143,"Multi-academy trust","AQUINAS CHURCH OF ENGLAND EDUCATION TRUST LIMITED","South East and South London",6,6,277,16.2,20.9,79.1,4.7,18.8,5,1,0,4,2,2,1.4,0.7,2.1,"-0.2","-1.8","1.3","1.8","1","2.7",2,1.4,0.7,2.1,"-0.3","-1.8","1.2","1.9","1.1","2.7","2","1.4","0.8","2.1","-0.8","-2.2","0.6","2","1.3","2.8",1.4,0.6,2.1,"-0.2","-1.8","1.4","1.8","1","2.7",1.4,0.7,2.2,"-0.3","-1.8","1.2","1.9","1.1","2.7","1.4","0.8","2.1","-0.8","-2.3","0.6","2","1.3","2.8","139984, 140729, 141352, 141529, 141567, 141896"
"TR00081",2157,"Multi-academy trust","ARK SCHOOLS","National Sponsor Unit",17,17,946,15.9,50.6,49.4,1.4,51.7,2,13,2,1,16,3,-0.1,-0.5,0.3,"-0.6","-1.2","-0.1","0.5","-0.1","1.1",2,0.7,0.3,1.1,"0.3","-0.3","0.8","1.2","0.6","1.8","2","1.1","0.7","1.4","0.3","-0.2","0.8","1.9","1.4","2.5",-0.1,-0.6,0.3,"-0.7","-1.2","-0.1","0.4","-0.2","1",0.7,0.3,1.1,"0.3","-0.3","0.8","1.2","0.6","1.8","1","0.7","1.4","0.2","-0.3","0.8","1.9","1.4","2.5","135242, 135584, 135600, 137114, 137323, 137331, 137578, 138052, 138397, 138680, 139645, 139713, 139820, 139830, 141020, 141021, 141022"
"SP00192",2184,"School sponsor","Askel Veur - Diocese of Truro","South West",11,11,198,15.9,34.3,65.7,3,1,7,4,0,1,10,4,-1.5,-2.3,-0.7,"-2.2","-3.6","-0.7","-1.1","-2.2","-0.1",4,-1.6,-2.4,-0.8,"-1.7","-3.1","-0.3","-1.6","-2.6","-0.6","4","-2","-2.8","-1.3","-2.9","-4.2","-1.6","-1.5","-2.5","-0.6",-1.5,-2.4,-0.7,"-2.2","-3.6","-0.7","-1.2","-2.3","-0.2",-1.8,-2.6,-1,"-1.9","-3.3","-0.5","-1.7","-2.7","-0.7","-2.1","-2.9","-1.3","-3","-4.3","-1.7","-1.7","-2.6","-0.7","139089, 139090, 139091, 139092, 139093, 140232, 140334, 140342, 140347, 140477, 141622"
