"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TPUP","KS2APS","PTFSM6CLA1A","PTNOTFSM6CLA1A","PTSENSE","PTEALGRP2","ACCCONVERTER","ACCSPONSOR","FREE_STUDIO_UTC","YEARS3","YEARS4","YEARS5","P8BANDING","EBACC_E_PTQ_EE_WGTAVG","EBACC_95_WGTAVG","EBACC_94_WGTAVG","EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A","EBACC_95_WGTAVG_FSM6CLA1A","EBACC_94_WGTAVG_FSM6CLA1A","EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A","EBACC_95_WGTAVG_NOTFSM6CLA1A","EBACC_94_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_WGTAVG","P8SCORE_ADJ_LOWER","P8SCORE_ADJ_UPPER","P8SCORE_ORIG_WGTAVG","P8SCORE_ORIG_LOWER","P8SCORE_ORIG_UPPER","EBACCAPS_WGTAVG","P8SCORE_ADJ_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_LOWER_FSM6CLA1A","P8SCORE_ADJ_UPPER_FSM6CLA1A","P8SCORE_ORIG_WGTAVG_FSM6CLA1A","P8SCORE_ORIG_LOWER_FSM6CLA1A","P8SCORE_ORIG_UPPER_FSM6CLA1A","EBACCAPS_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_LOWER_NOTFSM6CLA1A","P8SCORE_ADJ_UPPER_NOTFSM6CLA1A","P8SCORE_ORIG_WGTAVG_NOTFSM6CLA1A","P8SCORE_ORIG_LOWER_NOTFSM6CLA1A","P8SCORE_ORIG_UPPER_NOTFSM6CLA1A","EBACCAPS_WGTAVG_NOTFSM6CLA1A","SCHOOL-URNS"
"SP00003",2054,"School sponsor","Academies Enterprise Trust (AET)","National Sponsor Unit",27,27,3724,27.3,38.8,61.2,1.8,17.4,2,25,0,0,1,26,4,23.3,5.6,9.8,17.1,2.5,5.2,27.2,7.6,12.8,-0.32,-0.36,-0.28,-0.33,-0.38,-0.29,3.17,-0.6,-0.67,-0.54,-0.63,-0.7,-0.56,2.64,-0.12,-0.18,-0.07,-0.13,-0.18,-0.07,3.51,"133768, 135651, 135652, 135653, 135957, 136147, 136157, 136208, 136751, 136753, 137138, 137188, 137321, 137690, 138435, 138439, 138585, 138728, 138920, 138985, 139047, 139048, 139054, 139118, 139276, 139334, 141013"
"TR00015",2062,"Multi-academy trust","ACADEMY TRANSFORMATION TRUST","East of England and North East London",9,9,1203,27,32.1,67.9,2.6,14.1,3,6,0,0,0,9,4,40.4,9.1,17.2,27.2,5.4,10.6,46.6,10.9,20.3,-0.15,-0.23,-0.08,-0.17,-0.24,-0.09,3.48,-0.37,-0.5,-0.24,-0.38,-0.51,-0.25,2.92,-0.05,-0.14,0.04,-0.06,-0.15,0.03,3.74,"138918, 139043, 139058, 139062, 139063, 139271, 139288, 139578, 139867"
"SP00010",4927,"School sponsor","Aldridge Education","South East and South London",7,7,661,28.3,30.9,69.1,2.6,5.9,0,4,3,3,0,4,5,9.9,4,6.2,5.6,1.1,3.8,11.9,5.4,7.3,-0.63,-0.73,-0.53,-0.65,-0.75,-0.56,2.88,-0.87,-1.05,-0.69,-0.9,-1.08,-0.72,2.43,-0.52,-0.64,-0.4,-0.54,-0.66,-0.42,3.09,"135580, 136164, 137063, 139924, 141321, 141394, 142010"
"TR00542",2743,"Multi-academy trust","ALPHA ACADEMIES TRUST","West Midlands",4,4,324,27.6,45.7,54.3,2.5,9.6,1,1,2,0,1,3,3,53.5,10.8,21.2,49.7,8.2,16.9,56.9,13.1,25.2,-0.1,-0.24,0.04,-0.11,-0.25,0.04,3.54,-0.18,-0.39,0.02,-0.19,-0.4,0.02,3.14,-0.03,-0.22,0.17,-0.03,-0.23,0.16,3.91,"136681, 138256, 139590, 140633"
"TR00081",2157,"Multi-academy trust","ARK SCHOOLS","National Sponsor Unit",17,17,2154,27.7,51.5,48.5,2.6,41.2,2,14,1,1,1,15,2,53.7,18.8,29.9,51.1,14.3,25,56.4,23.5,35.1,0.1,0.04,0.16,0.09,0.04,0.15,4.06,-0.08,-0.16,0,-0.09,-0.17,-0.01,3.7,0.32,0.23,0.4,0.31,0.23,0.4,4.43,"131752, 135242, 135315, 135389, 135584, 135600, 135965, 135970, 137578, 138267, 138518, 138681, 139718, 139821, 139996, 140014, 141019"
"TR00103",2186,"Multi-academy trust","ASPIRATIONS ACADEMIES TRUST","North West London and South Central",5,5,419,28.1,32.7,67.3,1.7,24.1,1,2,2,1,1,3,2,48.4,15,24.5,34.5,7,12.3,55.3,19,30.4,0.14,0.02,0.26,0.13,0,0.26,3.93,-0.06,-0.28,0.15,-0.08,-0.3,0.13,3.33,0.24,0.09,0.39,0.24,0.08,0.39,4.22,"137009, 138499, 139711, 140886, 142126"
"TR00263",2386,"Multi-academy trust","BOURNE EDUCATION TRUST","South East and South London",3,3,356,27.9,26.1,73.9,3.9,16.3,2,1,0,0,0,3,3,67.7,15.7,24.7,57,4.3,11.8,71.5,19.8,29.3,-0.04,-0.18,0.1,-0.05,-0.19,0.09,3.89,-0.45,-0.71,-0.19,-0.45,-0.72,-0.19,3.12,0.12,-0.05,0.28,0.11,-0.06,0.27,4.17,"137595, 138765, 139948"
"TR00298",2437,"Multi-academy trust","BRIGHT FUTURES EDUCATIONAL TRUST","Lancashire and West Yorkshire",3,3,454,29.5,36.3,63.7,0.7,22.7,1,2,0,0,1,2,2,56.5,43.9,48,17.3,8.1,8.6,77.1,62.7,68.7,0.19,0.06,0.32,0.15,0.02,0.29,5.08,-0.7,-0.91,-0.49,-0.76,-0.97,-0.54,2.65,0.69,0.52,0.85,0.66,0.49,0.84,6.37,"137289, 138097, 140021"
"TR00299",2439,"Multi-academy trust","BRIGHT TRIBE TRUST","North",3,3,248,27.5,35.5,64.5,1.2,8.1,0,3,0,2,1,0,4,25.5,6.7,11.8,14.4,2.1,6,31.4,9.2,14.8,-0.31,-0.47,-0.15,-0.31,-0.47,-0.14,3.48,-0.38,-0.64,-0.11,-0.38,-0.65,-0.11,2.9,-0.27,-0.47,-0.07,-0.27,-0.48,-0.06,3.79,"136195, 140406, 141236"
"TR00325",2468,"Multi-academy trust","BROOK LEARNING TRUST","South East and South London",3,3,285,27.3,20,80,0,9.8,1,2,0,0,1,2,4,16.4,3.2,7.3,9.1,0,0,18.2,3.9,9.1,-0.38,-0.53,-0.23,-0.39,-0.55,-0.23,3.05,-0.88,-1.21,-0.55,-0.9,-1.24,-0.56,2.26,-0.25,-0.42,-0.07,-0.25,-0.43,-0.07,3.25,"136349, 137581, 138236"
