"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","NUM_SCHLS_ACAD","NUM_STUDENTS_ACAD","PERC_DISADV_ACAD","SCHOOLS_SPONSORLED_ACAD","SCHOOLS_CONVERTERS_ACAD","SCHOOLS_FREE_ACAD","SCHOOLS3_ACAD","SCHOOLS4_ACAD","SCHOOLS5_ACAD","PROGR_DESCR_ACAD","VA_MAT_ACAD","LCI_MAT_ACAD","UCI_MAT_ACAD","VA_MAT_ACAD_DIS","LCI_MAT_ACAD_DIS","UCI_MAT_ACAD_DIS","NUM_SCHLS_AGEN","NUM_STUDENTS_AGEN","PERC_DISADV_AGEN","SCHOOLS_SPONSORLED_AGEN","SCHOOLS_CONVERTERS_AGEN","SCHOOLS_FREE_AGEN","SCHOOLS3_AGEN","SCHOOLS4_AGEN","SCHOOLS5_AGEN","PROGR_DESCR_AGEN","VA_MAT_AGEN","LCI_MAT_AGEN","UCI_MAT_AGEN","VA_MAT_AGEN_DIS","LCI_MAT_AGEN_DIS","UCI_MAT_AGEN_DIS","SCHOOL-URNS"
"SP00003",2054,"School sponsor","Academies Enterprise Trust (AET)","National Sponsor Unit",17,836,"25.5",16,1,0,0,1,16,4,-0.19,-0.23,-0.14,"-0.27","-0.36","-0.17","16","398","35.4","15","1","0","0","1","15","3","0.07","-0.01","0.14","-0.06","-0.2","0.07","135651, 135652, 135653, 135957, 136147, 136157, 136208, 136751, 136753, 137138, 137188, 137321, 137690, 138439, 139048, 139276, 141013"
"TR00015",2062,"Multi-academy trust","ACADEMY TRANSFORMATION TRUST","East of England and North East London",5,161,"16.1",4,1,0,0,0,5,3,-0.06,-0.17,0.05,"0.02","-0.26","0.3","5","134","15.7","4","1","0","0","0","5","4","-0.25","-0.39","-0.11","-0.41","-0.72","-0.09","138918, 139058, 139062, 139063, 139867"
"SP00010",4927,"School sponsor","Aldridge Education","South East and South London",7,245,"21.6",4,0,3,2,1,4,2,0.12,0.03,0.21,"0.36","0.17","0.55","5","162","17.9","3","0","2","2","0","3","3","-0.09","-0.23","0.05","-0.32","-0.67","0.02","135580, 136164, 137063, 139924, 140212, 141394, 142010"
"TR00081",2157,"Multi-academy trust","ARK SCHOOLS","National Sponsor Unit",13,533,"48.4",10,2,1,0,1,12,3,0.04,-0.01,0.1,"0.04","-0.04","0.12","10","184","51.1","8","2","0","0","1","9","3","-0.06","-0.19","0.07","-0.11","-0.28","0.06","131752, 135242, 135315, 135389, 135584, 135600, 135965, 135970, 138267, 138681, 139821, 139996, 141019"
"TR00103",2186,"Multi-academy trust","ASPIRATIONS ACADEMIES TRUST","North West London and South Central",5,105,"21",2,1,2,1,1,3,4,-0.28,-0.42,-0.15,"-0.22","-0.54","0.1","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","137009, 138499, 139711, 140886, 142126"
"TR00409",2567,"Multi-academy trust","CASTLE SCHOOL EDUCATION TRUST","South West",3,258,"5.4",2,1,0,2,0,1,3,0.08,0,0.16,"-0.02","-0.4","0.35","3","21","SUPPM","2","1","0","2","0","1","3","0.05","-0.29","0.4","SUPPM","SUPPM","SUPPM","139348, 141341, 142008"
"TR00429",2597,"Multi-academy trust","CFBT SCHOOLS TRUST","East Midlands and Humber",4,303,"21.8",3,1,0,0,0,4,4,-0.11,-0.18,-0.04,"-0.19","-0.37","-0.02","4","88","25","3","1","0","0","0","4","2","0.48","0.3","0.65","0.51","0.17","0.85","134003, 136261, 137873, 138571"
"SP00128",2707,"School sponsor","City of London Academies Trust","North West London and South Central",3,271,"46.5",3,0,0,0,0,3,4,-0.27,-0.34,-0.19,"-0.43","-0.55","-0.31","3","56","51.8","3","0","0","0","0","3","4","-0.26","-0.45","-0.07","-0.28","-0.56","0","134222, 135587, 135835"
"TR00604",2816,"Multi-academy trust","CREATIVE EDUCATION TRUST","East of England and North East London",4,200,"18",3,1,0,0,0,4,4,-0.25,-0.34,-0.16,"-0.32","-0.55","-0.09","3","42","16.7","2","1","0","0","0","3","3","-0.03","-0.24","0.19","0.01","-0.51","0.53","137100, 137781, 138858, 139819"
"SP00142",2852,"School sponsor","David Meller","North West London and South Central",5,299,"20.4",2,1,2,0,1,4,4,-0.33,-0.41,-0.24,"-0.43","-0.62","-0.24","4","74","18.9","1","1","2","0","1","3","3","-0.12","-0.29","0.06","-0.4","-0.79","-0.01","135004, 135938, 138747, 139416, 141004"
