RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,COHORT,OVERALL,APPREN,EDUCATION,FE,HE,TOP_3RD,OXBRIDGE,RUSSELL,OTHERHE,OTHER_EDU,EMPLOYMENT,NOT_SUSTAINED,NOT_CAPTURED,GAP,OVERALLPER,APPRENPER,EDUCATIONPER,FEPER,HEPER,TOP_3RDPER,OXBRIDGEPER,RUSSELLPER,OTHERHEPER,OTHER_EDUPER,EMPLOYMENTPER,NOT_SUSTAINEDPER,NOT_CAPTUREDPER,GAPPER,COHORT_DIS,OVERALL_DIS,APPREN_DIS,EDUCATION_DIS,FE_DIS,HE_DIS,TOP_3RD_DIS,OXBRIDGE_DIS,RUSSELL_DIS,OTHERHE_DIS,OTHER_EDU_DIS,EMPLOYMENT_DIS,NOT_SUSTAINED_DIS,NOT_CAPTURED_DIS,GAP_DIS,OVERALLPER_DIS,APPRENPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,HEPER_DIS,TOP_3RDPER_DIS,OXBRIDGEPER_DIS,RUSSELLPER_DIS,OTHERHEPER_DIS,OTHER_EDUPER_DIS,EMPLOYMENTPER_DIS,NOT_SUSTAINEDPER_DIS,NOT_CAPTUREDPER_DIS,GAPPER_DIS,COHORT_NONDIS,OVERALL_NONDIS,APPREN_NONDIS,EDUCATION_NONDIS,FE_NONDIS,HE_NONDIS,TOP_3RD_NONDIS,OXBRIDGE_NONDIS,RUSSELL_NONDIS,OTHERHE_NONDIS,OTHER_EDU_NONDIS,EMPLOYMENT_NONDIS,NOT_SUSTAINED_NONDIS,NOT_CAPTURED_NONDIS,GAP_NONDIS,OVERALLPER_NONDIS,APPRENPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,HEPER_NONDIS,TOP_3RDPER_NONDIS,OXBRIDGEPER_NONDIS,RUSSELLPER_NONDIS,OTHERHEPER_NONDIS,OTHER_EDUPER_NONDIS,EMPLOYMENTPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,NOT_CAPTUREDPER_NONDIS,GAPPER_NONDIS,COHORT_17,OVERALLPER_17,COHORT_DIS_17,OVERALLPER_DIS_17,COHORT_NONDIS_17,OVERALLPER_NONDIS_17,COHORT_16,OVERALLPER_16,COHORT_DIS_16,OVERALLPER_DIS_16,COHORT_NONDIS_16,OVERALLPER_NONDIS_16
1,202,4000,137181,The UCL Academy,AC,0,0,45,39,SUPP,38,SUPP,34,20,0,12,14,4,SUPP,SUPP,SUPP,SUPP,87%,SUPP,84%,SUPP,76%,44%,0%,27%,31%,9%,SUPP,SUPP,SUPP,SUPP,17,14,SUPP,SUPP,SUPP,11,7,0,6,4,SUPP,SUPP,SUPP,SUPP,NA,82%,SUPP,SUPP,SUPP,65%,41%,0%,35%,24%,SUPP,SUPP,SUPP,SUPP,NA,28,25,SUPP,SUPP,SUPP,23,13,0,6,10,SUPP,SUPP,SUPP,SUPP,NA,89%,SUPP,SUPP,SUPP,82%,46%,0%,21%,36%,SUPP,SUPP,SUPP,SUPP,NA,99,80%,50,80%,49,80%,43,88%,23,87%,20,90%
1,202,4104,100049,Haverstock School,CY,0,0,77,66,0,60,6,51,8,0,6,43,3,6,SUPP,SUPP,SUPP,86%,0%,78%,8%,66%,10%,0%,8%,56%,4%,8%,SUPP,SUPP,SUPP,43,36,0,33,SUPP,30,5,0,3,25,SUPP,3,SUPP,SUPP,NA,84%,0%,77%,SUPP,70%,12%,0%,7%,58%,SUPP,7%,SUPP,SUPP,NA,34,30,0,27,SUPP,21,3,0,3,18,SUPP,3,SUPP,SUPP,NA,88%,0%,79%,SUPP,62%,9%,0%,9%,53%,SUPP,9%,SUPP,SUPP,NA,59,92%,43,93%,16,88%,58,79%,31,77%,27,81%
1,202,4166,100050,Parliament Hill School,CY,1,0,104,86,SUPP,72,9,60,26,SUPP,20,34,3,SUPP,11,7,9,83%,SUPP,69%,9%,58%,25%,SUPP,19%,33%,3%,SUPP,11%,7%,9%,47,40,SUPP,34,SUPP,27,5,SUPP,4,22,SUPP,SUPP,4,3,NA,85%,SUPP,72%,SUPP,57%,11%,SUPP,9%,47%,SUPP,SUPP,9%,6%,NA,57,46,SUPP,38,SUPP,33,21,SUPP,16,12,SUPP,SUPP,7,4,NA,81%,SUPP,67%,SUPP,58%,37%,SUPP,28%,21%,SUPP,SUPP,12%,7%,NA,123,85%,50,88%,73,84%,136,83%,61,92%,75,76%
1,202,4196,100051,Regent High School,CY,0,0,42,38,4,29,SUPP,28,4,0,SUPP,24,SUPP,5,4,SUPP,SUPP,90%,10%,69%,SUPP,67%,10%,0%,SUPP,57%,SUPP,12%,10%,SUPP,SUPP,30,27,SUPP,21,SUPP,21,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,90%,SUPP,70%,SUPP,70%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,12,11,SUPP,8,SUPP,7,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,92%,SUPP,67%,SUPP,58%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,75,76%,60,85%,15,40%,69,87%,44,86%,25,88%
1,202,4275,100052,Hampstead School,CY,0,0,71,57,SUPP,51,5,42,10,SUPP,9,32,4,6,9,5,SUPP,80%,SUPP,72%,7%,59%,14%,SUPP,13%,45%,6%,8%,13%,7%,SUPP,39,31,0,28,SUPP,26,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,NA,79%,0%,72%,SUPP,67%,SUPP,SUPP,SUPP,SUPP,SUPP,8%,SUPP,SUPP,NA,32,26,0,23,SUPP,16,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,NA,81%,0%,72%,SUPP,50%,SUPP,SUPP,SUPP,SUPP,SUPP,9%,SUPP,SUPP,NA,69,86%,30,90%,39,82%,92,84%,50,86%,42,81%
1,202,4285,100053,Acland Burghley School,CY,1,0,88,73,SUPP,52,SUPP,46,6,SUPP,SUPP,40,SUPP,SUPP,10,5,14,83%,SUPP,59%,SUPP,52%,7%,SUPP,SUPP,45%,SUPP,SUPP,11%,6%,16%,41,33,SUPP,29,SUPP,28,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,80%,SUPP,71%,SUPP,68%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,47,40,SUPP,23,SUPP,18,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,85%,SUPP,49%,SUPP,38%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,96,81%,44,82%,52,81%,123,85%,55,85%,68,85%
1,202,4611,100054,The Camden School for Girls,VA,0,0,217,179,SUPP,129,SUPP,99,83,6,68,16,SUPP,SUPP,28,10,33,82%,SUPP,59%,SUPP,46%,38%,3%,31%,7%,SUPP,SUPP,13%,5%,15%,42,39,SUPP,30,SUPP,25,17,0,11,8,SUPP,SUPP,0,3,NA,93%,SUPP,71%,SUPP,60%,40%,0%,26%,19%,SUPP,SUPP,0%,7%,NA,175,140,SUPP,99,SUPP,74,66,6,57,8,SUPP,SUPP,28,7,NA,80%,SUPP,57%,SUPP,42%,38%,3%,33%,5%,SUPP,SUPP,16%,4%,NA,215,75%,40,88%,175,73%,199,77%,26,73%,173,78%
1,202,4652,100055,Maria Fidelis Catholic School FCJ,VA,0,0,31,28,SUPP,25,SUPP,21,6,SUPP,SUPP,15,SUPP,3,SUPP,SUPP,SUPP,90%,SUPP,81%,SUPP,68%,19%,SUPP,SUPP,48%,SUPP,10%,SUPP,SUPP,SUPP,17,17,SUPP,16,SUPP,13,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,100%,SUPP,94%,SUPP,76%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,14,11,SUPP,9,SUPP,8,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,79%,SUPP,64%,SUPP,57%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,50,90%,33,88%,17,94%,50,92%,22,100%,28,86%
1,202,4688,100056,William Ellis School,VA,1,0,88,75,SUPP,63,8,50,13,0,8,37,5,SUPP,7,6,3,85%,SUPP,72%,9%,57%,15%,0%,9%,42%,6%,SUPP,8%,7%,3%,45,40,SUPP,34,SUPP,27,3,0,SUPP,24,SUPP,SUPP,SUPP,SUPP,NA,89%,SUPP,76%,SUPP,60%,7%,0%,SUPP,53%,SUPP,SUPP,SUPP,SUPP,NA,43,35,SUPP,29,SUPP,23,10,0,SUPP,13,SUPP,SUPP,SUPP,SUPP,NA,81%,SUPP,67%,SUPP,53%,23%,0%,SUPP,30%,SUPP,SUPP,SUPP,SUPP,NA,54,85%,21,90%,33,82%,73,82%,24,79%,49,84%
3,202,4952,132838,LaSWAP Sixth Form,NULL,NULL,NULL,394,338,12,280,29,239,70,SUPP,43,169,12,46,36,20,36,86%,3%,71%,7%,61%,18%,SUPP,11%,43%,3%,12%,9%,5%,9%,176,153,SUPP,135,12,117,21,SUPP,9,96,6,SUPP,15,8,NA,87%,SUPP,77%,7%,66%,12%,SUPP,5%,55%,3%,SUPP,9%,5%,NA,218,185,SUPP,145,17,122,49,SUPP,34,73,6,SUPP,21,12,NA,85%,SUPP,67%,8%,56%,22%,SUPP,16%,33%,3%,SUPP,10%,6%,NA,387,87%,164,88%,223,86%,473,86%,196,88%,277,84%
