Variable,Description,New variable?
CHAINID,Chain ID,
CHAINNAME,Chain Name,
LEADRSC,Lead Regional Schools Commissioner,
SCHOOLS,Number of schools in MAT,
SCHOOLSDIS,Number of schools in MAT with disadvantaged pupils,NEW
TELIG,Number of eligible pupils,
KS1APS,KS1 average points score,
PFSM6CLA1A,Percentage of pupils who are disadvantaged,
PNOTFSM6CLA1A,Percentage of pupils who are non-disadvantaged,
PSENELSE,Percentage of pupils who are SEN with statement or EHC plan,
PEALGRP2,Percentage of pupils with English as foreign language,
SCHOOLS_CONVERTERS,Number of schools in MAT that are converters,
SCHOOLS_SPONSORLED,Number of schools in MAT that are sponsor led,
SCHOOLS_FREE,Number of schools in MAT that are free schools,
SCHOOLS3,Number of schools which have been in MAT between three and four years,
SCHOOLS4P,Number of schools which have been in MAT four years or more,
READPROG_DESCR,"Adjusted, Reading progress banding",NEW
READPROGSCORE_P_ADJUSTED_WGTAVG,"Adjusted, Reading progress weighted score",NEW (previously provided for unadjusted)
READPROG_LOWER_ADJ,"Adjusted, Reading progress weighted score LCI",NEW (previously provided for unadjusted)
READPROG_UPPER_ADJ,"Adjusted, Reading progress weighted score UCI",NEW (previously provided for unadjusted)
READPROGSCORE_P_ADJUSTED_DIS_WGTAVG,"Adjusted, Reading progress weighted score, disadvantaged pupils",NEW (previously provided for unadjusted)
READPROG_FSM6CLA1A_LOWER_ADJ,"Adjusted, Reading progress weighted score LCI, disadvantaged pupils",NEW (previously provided for unadjusted)
READPROG_FSM6CLA1A_UPPER_ADJ,"Adjusted, Reading progress weighted score UCI, disadvantaged pupils",NEW (previously provided for unadjusted)
READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG,"Adjusted, Reading progress weighted score, non-disadvantaged pupils",NEW
READPROG_NOTFSM6CLA1A_LOWER_ADJ,"Adjusted, Reading progress weighted score LCI, non-disadvantaged pupils",NEW
READPROG_NOTFSM6CLA1A_UPPER_ADJ,"Adjusted, Reading progress weighted score UCI, non-disadvantaged pupils",NEW
WRITPROG_DESCR,"Adjusted, Writing progress banding",NEW
WRITPROGSCORE_P_ADJUSTED_WGTAVG,"Adjusted, Writing progress weighted score",NEW (previously provided for unadjusted)
WRITPROG_LOWER_ADJ,"Adjusted, Writing progress weighted score LCI",NEW (previously provided for unadjusted)
WRITPROG_UPPER_ADJ,"Adjusted, Writing progress weighted score UCI",NEW (previously provided for unadjusted)
WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG,"Adjusted, Writing progress weighted score, disadvantaged pupils",NEW (previously provided for unadjusted)
WRITPROG_FSM6CLA1A_LOWER_ADJ,"Adjusted, Writing progress weighted score LCI, disadvantaged pupils",NEW (previously provided for unadjusted)
WRITPROG_FSM6CLA1A_UPPER_ADJ,"Adjusted, Writing progress weighted score UCI, disadvantaged pupils",NEW (previously provided for unadjusted)
WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG,"Adjusted, Writing progress weighted score, non-disadvantaged pupils",NEW
WRITPROG_NOTFSM6CLA1A_LOWER_ADJ,"Adjusted, Writing progress weighted score LCI, non-disadvantaged pupils",NEW
WRITPROG_NOTFSM6CLA1A_UPPER_ADJ,"Adjusted, Writing progress weighted score UCI, non-disadvantaged pupils",NEW
MATPROG_DESCR,"Adjusted, Maths progress banding",NEW
MATPROGSCORE_P_ADJUSTED_WGTAVG,"Adjusted, Maths progress weighted score",NEW (previously provided for unadjusted)
MATPROG_LOWER_ADJ,"Adjusted, Maths progress weighted score LCI",NEW (previously provided for unadjusted)
MATPROG_UPPER_ADJ,"Adjusted, Maths progress weighted score UCI",NEW (previously provided for unadjusted)
MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG,"Adjusted, Maths progress weighted score, disadvantaged pupils",NEW (previously provided for unadjusted)
MATPROG_FSM6CLA1A_LOWER_ADJ,"Adjusted, Maths progress weighted score LCI, disadvantaged pupils",NEW (previously provided for unadjusted)
MATPROG_FSM6CLA1A_UPPER_ADJ,"Adjusted, Maths progress weighted score UCI, disadvantaged pupils",NEW (previously provided for unadjusted)
MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG,"Adjusted, Maths progress weighted score, non-disadvantaged pupils",NEW
MATPROG_NOTFSM6CLA1A_LOWER_ADJ,"Adjusted, Maths progress weighted score LCI, non-disadvantaged pupils",NEW
MATPROG_NOTFSM6CLA1A_UPPER_ADJ,"Adjusted, Maths progress weighted score UCI, non-disadvantaged pupils",NEW
READPROGSCORE_P_WGTAVG,"Unadjusted, Reading progress weighted score",
READPROG_LOWER,"Unadjusted, Reading progress weighted score LCI",
READPROG_UPPER,"Unadjusted, Reading progress weighted score UCI",
READPROGSCORE_P_DIS_WGTAVG,"Unadjusted, Reading progress weighted score, disadvantaged pupils",
READPROG_FSM6CLA1A_LOWER,"Unadjusted, Reading progress weighted score LCI, disadvantaged pupils",
READPROG_FSM6CLA1A_UPPER,"Unadjusted, Reading progress weighted score UCI, disadvantaged pupils",
READPROGSCORE_P_NONDIS_WGTAVG,"Unadjusted, Reading progress weighted score, non-disadvantaged pupils",NEW
READPROG_NOTFSM6CLA1A_LOWER,"Unadjusted, Reading progress weighted score LCI, non-disadvantaged pupils",NEW
READPROG_NOTFSM6CLA1A_UPPER,"Unadjusted, Reading progress weighted score UCI, non-disadvantaged pupils",NEW
WRITPROGSCORE_P_WGTAVG,"Unadjusted, Writing progress weighted score",
