"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","RWMEXP_WGTAVG","RWMEXP_DIS_WGTAVG","RWMEXP_NONDIS_WGTAVG","PSEN","SCHOOL-URNS"
"SP00003",2054,"School sponsor","Academies Enterprise Trust (AET)","National Sponsor Unit",33,33,1385,15.9,46.7,53.3,33.6,7,26,0,0,33,3,0.1,-0.3,0.4,"0.4","-0.1","0.9",-0.2,-0.7,0.2,2,1,0.7,1.3,"0.9","0.5","1.4",1.1,0.6,1.5,2,0.4,0.2,0.7,"0.3","-0.2","0.7",0.6,0.2,1,0.1,-0.3,0.4,"0.4","-0.1","0.9",-0.3,-0.7,0.2,1,0.7,1.3,"0.9","0.4","1.4",1.1,0.6,1.5,0.4,0.1,0.7,"0.2","-0.2","0.7",0.6,0.2,1,"68%","63%","71%",19.2,"137378, 137381, 137405, 138072, 138074, 138117, 138369, 138410, 138440, 138588, 138589, 138674, 138677, 138678, 138679, 138782, 138786, 138854, 138864, 138867, 138973, 138982, 138985, 139003, 139004, 139005, 139006, 139131, 139132, 139207, 139476, 139868, 139885"
"TR00015",2062,"Multi-academy trust","ACADEMY TRANSFORMATION TRUST","East of England and North East London",8,8,246,15.5,48,52,15,2,6,0,1,7,4,-1.8,-2.6,-1,"-2.6","-3.7","-1.4",-1.2,-2.3,-0.1,3,-0.3,-1.1,0.4,"-2.1","-3.1","-1",1.3,0.3,2.3,4,-1.7,-2.4,-1,"-2.7","-3.7","-1.7",-0.7,-1.7,0.2,-1.9,-2.7,-1.1,"-2.6","-3.8","-1.5",-1.2,-2.3,-0.1,-0.3,-1.1,0.4,"-2.1","-3.1","-1",1.3,0.2,2.3,-1.7,-2.4,-1,"-2.8","-3.8","-1.8",-0.7,-1.7,0.3,"51%","39%","62%",16.3,"138540, 138996, 139058, 139226, 139641, 142027, 142194, 144499"
"TR01229",2070,"Multi-academy trust","ACORN EDUCATION TRUST","South West",3,3,89,16.2,19.1,80.9,4.5,2,1,0,1,2,3,-0.6,-1.9,0.8,"-3.2","-6.1","-0.3",0.1,-1.3,1.6,4,-1.7,-2.9,-0.4,"-3","-5.7","-0.3",-1.3,-2.6,0.1,3,-0.1,-1.2,1.1,"-1.2","-3.8","1.3",0.2,-1,1.5,-0.6,-2,0.7,"-3.6","-6.6","-0.6",0.1,-1.4,1.6,-1.7,-2.9,-0.4,"-3","-5.8","-0.3",-1.3,-2.7,0.1,-0.1,-1.2,1.1,"-1.2","-3.8","1.4",0.2,-1.1,1.5,"64%","64%","64%",27,"141148, 141619, 143009"
"TR03028",2071,"Multi-academy trust","ACORN MULTI ACADEMY TRUST","South West",6,6,95,16.5,23.2,76.8,2.1,5,1,0,1,5,2,1.8,0.5,3,"1.6","-1.1","4.2",1.8,0.4,3.2,3,-0.5,-1.6,0.7,"-2.7","-5.2","-0.3",0.2,-1.1,1.5,3,0.8,-0.3,1.9,"-1.9","-4.2","0.4",1.6,0.3,2.8,1.8,0.5,3,"1.6","-1.1","4.3",1.8,0.3,3.3,-0.6,-1.8,0.6,"-3","-5.5","-0.5",0.1,-1.2,1.5,0.8,-0.4,1.9,"-1.9","-4.3","0.4",1.6,0.3,2.8,"70%","46%","78%",17.9,"141523, 141524, 141525, 141527, 142046, 142250"
"TR03058",5445,"Multi-academy trust","AD ASTRA ACADEMY TRUST","North",3,3,123,16.4,52.8,47.2,4.9,3,0,0,1,2,3,-0.4,-1.6,0.7,"-0.3","-1.8","1.2",-0.5,-2.2,1.2,3,-0.6,-1.7,0.4,"-1.8","-3.2","-0.4",0.5,-1,2.1,3,-0.5,-1.5,0.5,"-0.8","-2.1","0.5",-0.1,-1.5,1.4,-0.4,-1.6,0.7,"-0.3","-1.8","1.3",-0.5,-2.2,1.2,-0.6,-1.7,0.4,"-1.8","-3.2","-0.4",0.5,-1,2.1,-0.5,-1.5,0.5,"-0.8","-2.2","0.5",-0.1,-1.6,1.4,"66%","60%","73%",17.1,"141627, 141717, 142965"
"TR02658",2081,"Multi-academy trust","ADVENTURE LEARNING ACADEMY TRUST","South West",4,4,132,16.2,29.5,70.5,2.3,0,4,0,0,4,3,-0.9,-2,0.1,"-1.6","-3.5","0.4",-0.7,-1.9,0.6,2,1,0.1,2,"1.5","-0.4","3.3",0.9,-0.3,2,4,-2.9,-3.8,-2,"-3.2","-4.9","-1.4",-2.8,-3.9,-1.7,-1,-2,0.1,"-1.7","-3.7","0.3",-0.7,-2,0.6,1,0,2,"1.5","-0.4","3.3",0.8,-0.4,2,-2.9,-3.9,-2,"-3.2","-4.9","-1.4",-2.8,-4,-1.7,"56%","46%","60%",19.7,"140837, 140838, 140839, 141616"
"TR00048",2112,"Multi-academy trust","ALL SAINTS CATHOLIC COLLEGIATE","West Midlands",4,4,148,16.6,35.8,64.2,23,4,0,0,0,4,3,-0.8,-1.8,0.2,"-1.3","-3","0.4",-0.6,-1.9,0.7,3,-0.9,-1.9,0,"-1.9","-3.4","-0.3",-0.4,-1.6,0.8,3,-0.1,-1,0.8,"-1.1","-2.6","0.3",0.5,-0.6,1.6,-0.9,-1.9,0.2,"-1.4","-3.1","0.3",-0.6,-1.9,0.7,-1,-1.9,0,"-1.9","-3.5","-0.3",-0.4,-1.6,0.8,-0.1,-1,0.8,"-1.2","-2.7","0.3",0.5,-0.6,1.6,"69%","64%","72%",23.6,"140287, 140296, 140297, 140298"
"TR03329",15787,"Multi-academy trust","AMADEUS PRIMARY ACADEMIES  TRUST","South East and South London",4,4,270,17.9,18.9,81.1,12.2,4,0,0,0,4,3,-0.6,-1.3,0.2,"-0.6","-2.3","1.1",-0.6,-1.4,0.3,3,-0.5,-1.2,0.1,"-0.4","-2","1.1",-0.6,-1.3,0.2,4,-0.8,-1.4,-0.1,"-1.3","-2.8","0.1",-0.6,-1.3,0.1,-0.6,-1.4,0.1,"-0.7","-2.4","1",-0.6,-1.5,0.2,-0.5,-1.3,0.2,"-0.4","-2","1.2",-0.6,-1.3,0.2,-0.8,-1.5,-0.1,"-1.3","-2.9","0.2",-0.7,-1.4,0.1,"76%","53%","81%",7,"142228, 142229, 142294, 142295"
"TR02316",2128,"Multi-academy trust","AMBITIONS ACADEMIES TRUST","South West",3,3,229,16.4,33.2,66.8,31.4,0,3,0,0,3,3,-0.2,-1.1,0.6,"-1.8","-3.2","-0.4",0.6,-0.4,1.6,2,2,1.2,2.8,"0.3","-1","1.6",2.9,1.9,3.8,2,0.9,0.1,1.6,"-0.6","-1.8","0.7",1.6,0.7,2.5,-0.2,-1.1,0.6,"-1.8","-3.3","-0.4",0.6,-0.5,1.6,2,1.2,2.8,"0.3","-1","1.6",2.9,1.9,3.8,0.9,0.1,1.6,"-0.6","-1.9","0.7",1.6,0.7,2.5,"68%","41%","82%",10.9,"138860, 141671, 141745"
"TR01286",3698,"Multi-academy trust","AN DARAS MULTI ACADEMY TRUST","South West",5,5,99,16,35.4,64.6,9.1,5,0,0,3,2,4,-2.6,-3.9,-1.4,"-4","-6.1","-1.9",-1.9,-3.5,-0.3,3,-0.9,-2,0.3,"-0.9","-2.9","1",-0.9,-2.4,0.6,4,-2.9,-4,-1.8,"-4.1","-5.9","-2.2",-2.2,-3.6,-0.8,-2.8,-4.1,-1.5,"-4.1","-6.2","-1.9",-2.1,-3.7,-0.4,-1,-2.2,0.2,"-0.9","-2.9","1",-1.1,-2.6,0.4,-3,-4.2,-1.9,"-4.1","-6","-2.2",-2.4,-3.9,-1,"49%","34%","58%",20.2,"140513, 140514, 142551, 142564, 142804"
