"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TPUP","KS2APS","PTFSM6CLA1A","PTNOTFSM6CLA1A","PTSEN","PTEALGRP2","ACCCONVERTER","ACCSPONSOR","FREE_STUDIO_UTC","YEARS3","YEARS4","YEARS5","P8BANDING","EBACC_E_PTQ_EE_WGTAVG","EBACC_95_WGTAVG","EBACC_94_WGTAVG","EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A","EBACC_95_WGTAVG_FSM6CLA1A","EBACC_94_WGTAVG_FSM6CLA1A","EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A","EBACC_95_WGTAVG_NOTFSM6CLA1A","EBACC_94_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_WGTAVG","P8SCORE_ADJ_LOWER","P8SCORE_ADJ_UPPER","P8SCORE_ORIG_WGTAVG","P8SCORE_ORIG_LOWER","P8SCORE_ORIG_UPPER","EBACCAPS_WGTAVG","P8SCORE_ADJ_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_LOWER_FSM6CLA1A","P8SCORE_ADJ_UPPER_FSM6CLA1A","P8SCORE_ORIG_WGTAVG_FSM6CLA1A","P8SCORE_ORIG_LOWER_FSM6CLA1A","P8SCORE_ORIG_UPPER_FSM6CLA1A","EBACCAPS_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_LOWER_NOTFSM6CLA1A","P8SCORE_ADJ_UPPER_NOTFSM6CLA1A","P8SCORE_ORIG_WGTAVG_NOTFSM6CLA1A","P8SCORE_ORIG_LOWER_NOTFSM6CLA1A","P8SCORE_ORIG_UPPER_NOTFSM6CLA1A","EBACCAPS_WGTAVG_NOTFSM6CLA1A","SCHOOL-URNS"
"SP00003",2054,"School sponsor","Academies Enterprise Trust (AET)","National Sponsor Unit",25,25,3651,27.7,36.8,63.2,15.1,19.4,2,23,0,0,0,25,4,24.5,7,11.9,18.7,3.7,7.2,27.9,9,14.6,-0.33,-0.37,-0.28,-0.34,-0.38,-0.29,3.29,-0.57,-0.64,-0.5,-0.58,-0.65,-0.51,2.76,-0.16,-0.22,-0.11,-0.17,-0.22,-0.11,3.6,"133768, 135651, 135652, 135653, 135957, 136147, 136157, 136208, 136753, 137138, 137188, 137321, 138435, 138439, 138585, 138728, 138920, 138985, 139047, 139048, 139054, 139118, 139276, 139334, 141013"
"TR00015",2062,"Multi-academy trust","ACADEMY TRANSFORMATION TRUST","East of England and North East London",11,11,1458,27.6,31.8,68.2,12.8,14.8,4,7,0,2,0,9,3,49.7,11.3,19,39,6.8,12.3,54.6,13.3,22.1,-0.01,-0.08,0.06,-0.01,-0.08,0.05,3.68,-0.32,-0.44,-0.2,-0.33,-0.45,-0.21,3.06,0.14,0.06,0.23,0.14,0.06,0.23,3.96,"138918, 139043, 139058, 139062, 139063, 139271, 139288, 139578, 139867, 139937, 142594"
"TR02786",15710,"Multi-academy trust","ACTIVATE LEARNING EDUCATION TRUST","North West London and South Central",4,4,365,28.6,18.1,81.9,31,8.8,0,1,3,2,2,0,5,31.1,4.2,9.7,22.1,0,0,33.1,5.1,11.8,-0.57,-0.71,-0.43,-0.57,-0.71,-0.43,3.39,-1.14,-1.46,-0.83,-1.16,-1.48,-0.84,2.55,-0.44,-0.59,-0.28,-0.44,-0.59,-0.28,3.58,"139268, 141111, 142024, 142863"
"SP00010",4927,"School sponsor","Aldridge Education","South East and South London",7,7,726,28.3,42,58,19.8,14.6,0,5,2,0,2,5,4,33.3,8.6,15.6,26.8,5.4,11.4,38,11,18.7,-0.25,-0.35,-0.16,-0.26,-0.36,-0.16,3.58,-0.37,-0.52,-0.23,-0.38,-0.53,-0.23,3.19,-0.16,-0.28,-0.03,-0.17,-0.29,-0.04,3.87,"135580, 136164, 137063, 139924, 140212, 141321, 141394"
"TR00542",2743,"Multi-academy trust","ALPHA ACADEMIES TRUST","West Midlands",3,3,401,28.4,40.1,59.9,9.2,9.2,1,1,1,0,0,3,4,33.4,12.5,18.2,29.2,6.8,12.4,36.3,16.3,22.1,-0.18,-0.31,-0.05,-0.19,-0.32,-0.06,3.51,-0.49,-0.7,-0.29,-0.5,-0.71,-0.3,3.03,0.03,-0.14,0.19,0.01,-0.16,0.18,3.83,"136681, 139590, 140633"
"TR00257",16031,"Multi-academy trust","ANGLIAN LEARNING","East of England and North East London",4,4,718,29.3,13.2,86.8,11.1,11.4,3,1,0,3,0,1,2,54.3,30.8,42.6,31.7,9.4,22.9,57.7,34,45.6,0.26,0.16,0.36,0.25,0.16,0.35,4.8,-0.44,-0.7,-0.17,-0.45,-0.72,-0.18,3.37,0.37,0.27,0.47,0.37,0.26,0.47,5.02,"136677, 136775, 137427, 142035"
"TR00429",2597,"Multi-academy trust","ANTHEM SCHOOLS TRUST","East Midlands and Humber",5,5,767,27.7,27.8,72.2,17.1,20.7,1,3,1,0,0,5,3,43.2,13,23.5,32.9,7,15,47.1,15.3,26.7,-0.1,-0.19,0,-0.1,-0.19,0,3.73,-0.33,-0.51,-0.16,-0.33,-0.52,-0.15,3.12,0.01,-0.11,0.12,0.01,-0.11,0.12,3.96,"134003, 136261, 137873, 138367, 138571"
"TR00081",2157,"Multi-academy trust","ARK SCHOOLS","National Sponsor Unit",18,18,2327,28,49.9,50.1,13,46.4,2,14,2,0,1,17,2,56.6,19.1,32.5,53.8,15,27.5,59.3,23.1,37.5,0.16,0.11,0.22,0.15,0.1,0.21,4.17,-0.04,-0.12,0.04,-0.05,-0.13,0.03,3.88,0.4,0.32,0.48,0.39,0.31,0.47,4.46,"131752, 135242, 135315, 135389, 135584, 135600, 135965, 135970, 137578, 138267, 138518, 138681, 139718, 139815, 139821, 139996, 140014, 141019"
"TR00103",2186,"Multi-academy trust","ASPIRATIONS ACADEMIES TRUST","North West London and South Central",5,5,505,28,31.5,68.5,12.9,28.7,1,2,2,0,1,4,2,39.6,14.2,23.6,34.5,7.8,16.3,41.9,17.1,26.9,0.25,0.13,0.36,0.24,0.12,0.36,4.01,-0.13,-0.33,0.07,-0.14,-0.34,0.07,3.41,0.42,0.28,0.57,0.42,0.28,0.57,4.27,"137009, 138499, 139711, 140886, 142126"
"TR00163",2270,"Multi-academy trust","BECKFOOT TRUST","Lancashire and West Yorkshire",3,3,599,27.9,29.4,70.6,11.5,21.4,1,2,0,1,1,1,3,26.9,11.5,16.4,16.2,3.2,4.9,30.9,14.6,20.7,-0.02,-0.12,0.09,-0.03,-0.13,0.08,3.85,-0.36,-0.55,-0.16,-0.37,-0.56,-0.17,2.75,0.11,-0.01,0.23,0.1,-0.02,0.23,4.26,"139975, 142031, 143112"
"SP00058",2369,"School sponsor","Bohunt Education Trust","South East and South London",5,5,1029,29.3,20.4,79.6,7.8,8.7,2,3,0,1,1,3,3,45.1,20.4,29.8,32.2,8.6,14.3,48.6,23.6,34,-0.05,-0.13,0.03,-0.06,-0.14,0.02,4.27,-0.64,-0.82,-0.47,-0.67,-0.84,-0.49,3.08,0.11,0.02,0.2,0.11,0.02,0.2,4.59,"135904, 136643, 136903, 140424, 141175"
"TR00263",2386,"Multi-academy trust","BOURNE EDUCATION TRUST","South East and South London",3,3,423,28,21.5,78.5,16.5,15.8,2,1,0,0,0,3,2,63.4,14.7,25.5,45.1,11,12.1,68.4,15.7,29.2,0.2,0.07,0.32,0.19,0.06,0.32,4.05,-0.27,-0.55,0,-0.28,-0.56,0,3.01,0.33,0.18,0.47,0.33,0.18,0.47,4.33,"137595, 138765, 139948"
"TR00278",2408,"Multi-academy trust","BRADFORD DIOCESAN ACADEMIES TRUST","Lancashire and West Yorkshire",3,3,619,27.6,33.9,66.1,13.9,17,2,1,0,3,0,0,2,40.9,13.2,21.2,37.1,8.6,13.8,42.8,15.6,24.9,0.2,0.1,0.31,0.2,0.1,0.31,3.77,-0.04,-0.22,0.14,-0.04,-0.22,0.14,3.03,0.32,0.2,0.45,0.32,0.19,0.45,4.16,"138087, 142590, 142825"
"TR00296",2434,"Multi-academy trust","BRIDGWATER & TAUNTON COLLEGE TRUST","South West",3,3,384,27.2,25.5,74.5,16.7,4.2,1,2,0,1,0,2,3,8.1,3.9,4.7,7.8,2.3,3.8,8.2,4.4,5,0.08,-0.05,0.21,0.07,-0.06,0.2,3.34,-0.32,-0.57,-0.06,-0.35,-0.61,-0.09,2.89,0.22,0.07,0.37,0.22,0.07,0.38,3.5,"136791, 138375, 139655"
"TR00298",2437,"Multi-academy trust","BRIGHT FUTURES EDUCATIONAL TRUST","Lancashire and West Yorkshire",3,3,510,29.1,37.5,62.5,13.7,24.7,1,2,0,0,0,3,4,58.2,41,45.3,22,5.8,7.9,79.9,62.1,67.7,-0.18,-0.31,-0.06,-0.23,-0.36,-0.11,4.72,-1.21,-1.4,-1.02,-1.31,-1.5,-1.12,2.11,0.5,0.33,0.66,0.49,0.32,0.66,6.28,"137289, 138097, 140021"
"TR00299",2439,"Multi-academy trust","BRIGHT TRIBE TRUST","North",3,3,299,27.7,39.5,60.5,9.4,5,0,3,0,0,2,1,4,18.7,7.3,11.7,11.1,0,3.2,23.6,11.9,17.2,-0.35,-0.5,-0.21,-0.36,-0.51,-0.21,3.4,-0.73,-0.97,-0.5,-0.74,-0.97,-0.5,2.59,-0.11,-0.3,0.08,-0.12,-0.31,0.07,3.92,"136195, 140406, 141236"
"TR00325",2468,"Multi-academy trust","BROOK LEARNING TRUST","South East and South London",3,3,273,28.2,29.3,70.7,5.9,8.4,1,2,0,0,0,3,5,22,6.2,9.9,16.3,6.3,10,24.4,6.2,9.8,-0.56,-0.71,-0.4,-0.58,-0.74,-0.42,3.2,-1.13,-1.41,-0.84,-1.18,-1.47,-0.89,2.6,-0.31,-0.49,-0.12,-0.32,-0.51,-0.13,3.44,"136349, 137581, 138236"
"TR00367",2516,"Multi-academy trust","CABOT LEARNING FEDERATION","South West",8,8,1071,27.8,35.6,64.4,13.8,22.7,0,7,1,1,1,6,3,30.8,8.7,15.2,23.3,3.9,6.6,34.7,11.1,19.7,-0.08,-0.16,0,-0.09,-0.17,0,3.63,-0.26,-0.4,-0.13,-0.28,-0.42,-0.15,3.05,0.03,-0.07,0.13,0.02,-0.08,0.12,3.93,"135295, 135300, 135959, 136708, 137106, 141042, 142079, 144509"
