RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,201,6007,100003,City of London School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,201,6005,100001,City of London School for Girls,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,201
1,202,4285,100053,Acland Burghley School,0,CY,136,47.2,128,1,-0.08,-0.3,0.14,-0.09,-0.31,0.14,66.2%,47.1%,4.29,51.5%,36.8%,26.5%,62.5%,3
2,202,7137,100092,Camden Centre for Learning (CCfL) Special School,0,CYS,17,3.4,16,0,-2.98,-3.6,-2.35,-2.98,-3.62,-2.34,5.9%,0.0%,0.23,0.0%,0.0%,0.0%,0.0%,5
1,202,4611,100054,The Camden School for Girls,0,VA,107,63.4,95,2,0.74,0.48,1,0.71,0.44,0.97,88.8%,74.8%,5.83,60.7%,55.1%,40.2%,88.8%,1
1,202,6000,137333,CATS College London,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,6004,142408,Ecole Jeannine Manuel,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,6387,100084,Fine Arts College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4275,100052,Hampstead School,0,CY,200,44.6,188,3,-0.06,-0.24,0.13,-0.07,-0.25,0.12,63.0%,31.5%,4.08,58.5%,24.0%,12.0%,57.0%,3
1,202,4104,100049,Haverstock School,0,CY,199,42.4,178,2,-0.09,-0.28,0.09,-0.1,-0.29,0.09,58.8%,43.2%,3.72,24.1%,19.1%,14.1%,53.3%,3
1,202,5401,100059,La Sainte Union Catholic Secondary School,0,VA,173,54.6,169,1,0.54,0.34,0.73,0.53,0.33,0.73,77.5%,53.2%,4.84,56.6%,32.9%,21.4%,76.3%,1
1,202,4652,100055,Maria Fidelis Catholic School FCJ,0,VA,115,48.3,107,1,0.09,-0.15,0.34,0.09,-0.16,0.34,67.0%,45.2%,4.56,80.0%,40.9%,26.1%,60.9%,3
1,202,6269,100074,North Bridge House Senior School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4166,100050,Parliament Hill School,0,CY,175,58.6,164,2,0.77,0.58,0.97,0.76,0.56,0.96,76.0%,57.7%,5.33,57.7%,41.7%,32.6%,74.9%,1
1,202,4196,100051,Regent High School,0,CY,154,42.1,139,1,-0.18,-0.4,0.03,-0.18,-0.4,0.03,59.1%,40.3%,3.77,60.4%,20.1%,7.1%,52.6%,3
1,202,6014,100062,St Margaret's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,6307,100076,South Hampstead High School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,202,7205,100096,Swiss Cottage School - Development & Research Centre,0,CYS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,202,4000,137181,The UCL Academy,0,AC,171,50,163,0,0.09,-0.1,0.29,0.09,-0.11,0.29,70.8%,46.8%,4.6,67.3%,33.3%,21.6%,67.3%,3
1,202,6018,100065,University College School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
