RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,335,6905,133697,Walsall Academy,AC,0,0,,2,12,129,79%,2%,74%,14%,11%,0%,2%,120,82%,13,2,9,44%,-7,3,0,NA,NA,NA,79%,SUPP,SUPP,SUPP,0%,0%,SUPP
1,335,6906,135769,Ormiston Shelfield Community Academy,AC,0,0,,4,-14,84,38%,5%,33%,2%,2%,0%,0%,77,42%,-12,4,7,0%,-35,3,0,NA,NA,NA,44%,0%,44%,SUPP,SUPP,0%,0%
1,335,6907,135956,Grace Academy Darlaston,AC,0,0,,1,27,19,74%,0%,74%,0%,0%,0%,0%,19,74%,27,1,0,NA,NA,NA,0,NA,NA,NA,63%,0%,63%,0%,0%,0%,0%
1,335,8001,130483,Walsall College,General Further Education College,0,0,,3,1,716,43%,1%,35%,1%,SP,0%,6%,287,53%,0,3,303,38%,-1,3,126,31%,7,3,42%,SUPP,36%,SUPP,SUPP,0%,SUPP
1,335,4001,137274,Bloxwich Academy,AC,0,0,,3,-16,12,42%,0%,42%,0%,0%,0%,0%,12,42%,-16,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,0%,SUPP,0%,0%,0%,0%
1,335,4003,138374,West Walsall E-ACT Academy,AC,0,0,,1,32,45,80%,0%,80%,0%,0%,0%,0%,44,82%,33,1,0,NA,NA,NA,1,SUPP,SUPP,SUPP,71%,0%,71%,0%,0%,0%,0%
1,335,4004,138606,Blue Coat Church of England Academy,AC,0,0,,1,30,47,89%,0%,89%,9%,9%,0%,0%,44,91%,29,1,3,SUPP,SUPP,SUPP,0,NA,NA,NA,81%,0%,81%,0%,0%,0%,0%
1,335,4005,139789,Walsall Studio School,SS,0,0,,3,6,56,55%,0%,38%,0%,0%,0%,18%,40,63%,9,3,16,38%,-3,3,0,NA,NA,NA,65%,0%,47%,0%,0%,0%,18%
1,335,4007,137830,Joseph Leckie Academy,ACC,0,0,,2,15,131,69%,0%,69%,2%,2%,0%,1%,122,70%,14,2,3,SUPP,SUPP,SUPP,6,67%,43,1,64%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,335,4106,142594,Pool Hayes Academy,ACC,0,0,,3,4,73,60%,1%,56%,5%,5%,0%,3%,69,59%,2,3,4,SUPP,SUPP,SUPP,0,NA,NA,NA,74%,SUPP,68%,0%,0%,0%,SUPP
1,335,4606,104255,St Francis of Assisi Catholic Technology College,VA,0,0,,3,9,87,75%,1%,70%,10%,7%,0%,3%,87,75%,9,3,0,NA,NA,NA,0,NA,NA,NA,82%,SUPP,SUPP,SUPP,SUPP,0%,SUPP
1,335,5400,137707,The Streetly Academy,ACC,0,0,,3,5,95,78%,2%,68%,15%,12%,0%,7%,94,79%,6,3,1,SUPP,SUPP,SUPP,0,NA,NA,NA,74%,SUPP,63%,SUPP,SUPP,0%,SUPP
1,335,5401,104259,"St Thomas More Catholic School, Willenhall",VA,0,0,,2,13,135,70%,0%,68%,5%,4%,0%,1%,134,70%,13,2,0,NA,NA,NA,1,SUPP,SUPP,SUPP,52%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,335,5402,136620,Shire Oak Academy,ACC,0,0,,4,-16,117,52%,2%,48%,16%,14%,0%,3%,114,53%,-16,4,3,SUPP,SUPP,SUPP,0,NA,NA,NA,44%,SUPP,39%,17%,SUPP,0%,SUPP
1,335,5403,136777,Queen Mary's High School,ACC,0,0,,3,9,85,91%,2%,88%,33%,20%,0%,0%,85,91%,9,3,0,NA,NA,NA,0,NA,NA,NA,100%,SUPP,SUPP,23%,23%,0%,0%
1,335,5404,136773,Queen Mary's Grammar School,ACC,0,0,,3,5,146,95%,1%,92%,59%,53%,2%,1%,146,95%,5,3,0,NA,NA,NA,0,NA,NA,NA,100%,SUPP,SUPP,50%,43%,0%,SUPP
1,335,5405,137974,Aldridge School - A Science College,ACC,0,0,,3,3,95,77%,0%,76%,24%,19%,0%,1%,94,77%,2,3,1,SUPP,SUPP,SUPP,0,NA,NA,NA,78%,0%,SUPP,SUPP,0%,0%,SUPP
1,335,5406,136885,Barr Beacon School,ACC,0,0,,3,5,83,78%,1%,77%,19%,16%,0%,0%,76,78%,2,3,7,86%,41,2,0,NA,NA,NA,67%,SUPP,SUPP,SUPP,SUPP,0%,0%
LA,335,,,,,,,,NA,4,,62%,1%,57%,11%,8%,SP,4%,1780,69%,5,NA,363,39%,0,NA,134,32%,8,NA,64%,1%,60%,13%,10%,SP,4%
1,336,4000,138098,Moseley Park,AC,1,0,,2,15,45,69%,0%,62%,7%,2%,0%,7%,30,67%,4,3,15,73%,36,2,0,NA,NA,NA,75%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,336,4001,141245,Wednesfield High Specialist Engineering Academy,AC,0,0,,3,5,58,66%,0%,66%,5%,3%,0%,0%,53,66%,3,3,5,SUPP,SUPP,SUPP,0,NA,NA,NA,SUPP,0%,SUPP,0%,SUPP,0%,0%
1,336,4113,142317,Highfields School,ACC,0,0,,2,14,104,87%,1%,84%,23%,17%,1%,2%,103,86%,14,2,1,SUPP,SUPP,SUPP,0,NA,NA,NA,78%,SUPP,SUPP,22%,SUPP,SUPP,SUPP
1,336,4117,140586,Smestow School,ACC,0,0,,2,11,87,77%,0%,75%,6%,5%,0%,2%,86,77%,11,2,0,NA,NA,NA,1,SUPP,SUPP,SUPP,74%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,336,4133,104395,Colton Hills Community School,CY,0,0,,1,26,102,85%,2%,81%,13%,10%,0%,2%,91,85%,23,1,11,91%,46,1,0,NA,NA,NA,76%,SUPP,73%,9%,9%,0%,SUPP
1,336,4134,137730,Heath Park,ACC,1,0,,3,2,96,63%,1%,60%,13%,10%,0%,1%,59,78%,7,3,37,38%,-6,3,0,NA,NA,NA,47%,SUPP,SUPP,8%,8%,0%,SUPP
1,336,4601,138852,S.Peter's Collegiate Church of England School,ACC,0,0,,2,16,105,85%,2%,79%,14%,10%,0%,4%,105,85%,16,2,0,NA,NA,NA,0,NA,NA,NA,82%,SUPP,73%,0%,0%,0%,SUPP
1,336,4605,139891,St Edmunds Catholic Academy,ACC,0,0,,2,15,46,78%,2%,74%,11%,11%,0%,2%,46,78%,15,2,0,NA,NA,NA,0,NA,NA,NA,86%,SUPP,SUPP,SUPP,SUPP,0%,SUPP
1,336,4606,141802,Our Lady and St Chad Catholic Academy,ACC,0,0,,3,12,56,71%,0%,70%,4%,2%,0%,2%,53,72%,11,3,3,SUPP,SUPP,SUPP,0,NA,NA,NA,76%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,336,4731,131547,The King's Church of England School,VA,0,0,,2,16,55,78%,4%,73%,16%,9%,0%,2%,54,80%,17,2,1,SUPP,SUPP,SUPP,0,NA,NA,NA,78%,SUPP,SUPP,33%,SUPP,0%,SUPP
3,336,4901,140604,Central Learning Partnership,,,,,3,6,141,65%,1%,61%,11%,8%,0%,3%,89,74%,6,3,52,48%,6,3,0,NA,NA,NA,56%,SUPP,52%,9%,7%,0%,SUPP
1,336,5400,140798,Wolverhampton Girls' High School,ACC,0,0,,3,6,119,94%,2%,92%,66%,54%,5%,0%,119,94%,6,3,0,NA,NA,NA,0,NA,NA,NA,83%,SUPP,SUPP,50%,50%,0%,0%
1,336,5402,139138,Aldersley High School,ACC,0,0,,3,7,54,63%,0%,63%,4%,2%,0%,0%,54,63%,7,3,0,NA,NA,NA,0,NA,NA,NA,67%,0%,67%,SUPP,SUPP,0%,0%
1,336,8002,130484,City of Wolverhampton College,General Further Education College,0,0,,4,-7,318,37%,1%,28%,3%,1%,0%,8%,146,43%,-11,4,148,33%,-4,3,24,25%,0,3,35%,SUPP,30%,0%,0%,0%,SUPP
LA,336,,,,,,,,NA,6,,65%,1%,61%,12%,9%,SP,3%,1278,70%,6,NA,248,41%,2,NA,26,27%,2,NA,68%,SUPP,63%,15%,11%,SUPP,SUPP
1,340,4615,135479,All Saints Catholic High School,VA,0,0,,3,-6,51,49%,0%,49%,2%,2%,0%,0%,51,49%,-6,3,0,NA,NA,NA,0,NA,NA,NA,43%,0%,43%,SUPP,SUPP,0%,0%
LA,340,,,,,,,,NA,-1,,50%,SP,41%,1%,1%,0%,8%,243,54%,-1,NA,64,38%,3,NA,10,10%,-11,NA,50%,SUPP,43%,SUPP,SUPP,0%,SUPP
1,341,4001,138787,Childwall Sports & Science Academy,AC,0,0,,3,13,49,69%,0%,69%,12%,12%,0%,0%,47,70%,13,3,2,SUPP,SUPP,SUPP,0,NA,NA,NA,75%,0%,75%,SUPP,SUPP,0%,0%
1,341,4002,139588,Liverpool Life Sciences UTC,UTC,0,0,,2,12,131,81%,0%,79%,27%,24%,0%,2%,131,81%,12,2,0,NA,NA,NA,0,NA,NA,NA,79%,0%,79%,21%,18%,0%,0%
1,341,4003,139589,The Studio School Liverpool,SS,0,0,,2,13,56,68%,0%,64%,7%,5%,0%,4%,29,66%,-1,3,27,70%,29,2,0,NA,NA,NA,60%,0%,SUPP,SUPP,0%,0%,SUPP
1,341,4004,139686,Liverpool College,AC,0,0,,2,15,84,90%,1%,89%,55%,42%,1%,0%,84,90%,15,2,0,NA,NA,NA,0,NA,NA,NA,100%,SUPP,SUPP,67%,SUPP,SUPP,0%
1,341,4306,138696,West Derby School,ACC,0,0,,5,-26,49,31%,0%,31%,8%,8%,0%,0%,49,31%,-26,5,0,NA,NA,NA,0,NA,NA,NA,35%,0%,35%,SUPP,SUPP,0%,0%
1,341,4404,104688,Holly Lodge Girls' College,CY,0,0,,3,13,40,73%,0%,68%,8%,8%,0%,5%,38,74%,13,3,2,SUPP,SUPP,SUPP,0,NA,NA,NA,73%,0%,SUPP,SUPP,SUPP,0%,SUPP
