TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4PLUS_MATPTINC,TELIG_MATPTINC,KS1APS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_MATPTINC,READ_PROGSCORE_EM_ADJ_WGTAVG,READ_PROGSCORE_ADJ_UPPER,READ_PROGSCORE_ADJ_LOWER,WRIT_PROGSCORE_EM_ADJ_WGTAVG,WRIT_PROGSCORE_ADJ_UPPER,WRIT_PROGSCORE_ADJ_LOWER,MAT_PROGSCORE_EM_ADJ_WGTAVG,MAT_PROGSCORE_ADJ_UPPER,MAT_PROGSCORE_ADJ_LOWER,READ_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,READ_PROGSCORE_ADJ_UPPER_FSM6CLA1A,READ_PROGSCORE_ADJ_LOWER_FSM6CLA1A,WRIT_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,WRIT_PROGSCORE_ADJ_UPPER_FSM6CLA1A,WRIT_PROGSCORE_ADJ_LOWER_FSM6CLA1A,MAT_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,MAT_PROGSCORE_ADJ_UPPER_FSM6CLA1A,MAT_PROGSCORE_ADJ_LOWER_FSM6CLA1A,READ_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,READ_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,READ_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,WRIT_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,WRIT_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,WRIT_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,MAT_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,MAT_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,MAT_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,PRWM_EXP_WGTAVG,PRWM_EXP_WGTAVG_FSM6CLA1A,PRWM_EXP_WGTAVG_NOTFSM6CLA1A,READ_PROGSCORE_BANDING,WRIT_PROGSCORE_BANDING,MAT_PROGSCORE_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,TELIG_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trust,ABBEY ACADEMIES TRUST,2044,TR00261,7318714,10058308,East Midlands,136354;140214;146279,3,3,1,2,0,0,3,138,8.1,28%,72%,15%,12%,0.7,1.8,-0.3,0.8,1.9,-0.2,2.3,3.3,1.3,0.8,2.8,-1.3,-0.8,1.1,-2.8,1.4,3.3,-0.5,0.7,2,-0.5,1.5,2.7,0.2,2.7,3.9,1.5,72%,58%,78%,Average,Average,Above average,136354;140214;146279,3,1,2,0,138,28%,72%
202223,AcademicYear,Multi-academy trust,ABBEY MULTI ACADEMY TRUST,2046,TR00002,7705552,10059141,Yorkshire and the Humber,138824;140399;141521;144865;146306,5,5,3,2,0,0,5,205,7.7,29%,71%,10%,24%,-1.9,-1,-2.7,-3.8,-2.9,-4.6,-2.2,-1.3,-3,-2.7,-1.1,-4.4,-3.8,-2.2,-5.3,-4.4,-2.9,-6,-1.5,-0.5,-2.6,-3.8,-2.8,-4.8,-1.3,-0.3,-2.2,42%,32%,47%,Below average,Well below average,Below average,138824;140399;141521;144865;146306,5,3,2,0,205,29%,71%
202223,AcademicYear,Multi-academy trust,ACADEMIES ENTERPRISE TRUST,2053,TR00008,6625091,10033736,East of England,137378;137381;137405;138072;138074;138369;138410;138440;138588;138589;138674;138677;138678;138679;138786;138854;138864;138867;138973;138982;139003;139004;139005;139006;139131;139132;139207;139476;139868;139885;146181,31,31,8,23,0,0,31,1440,7.7,45%,55%,33%,21%,1.2,1.5,0.8,1.6,1.9,1.3,1.4,1.7,1.1,0.9,1.4,0.4,1.1,1.6,0.6,1.1,1.6,0.6,1.4,1.8,0.9,2.1,2.5,1.6,1.7,2.1,1.2,70%,62%,77%,Above average,Above average,Above average,137378;137381;137405;138072;138074;138369;138410;138440;138588;138589;138674;138677;138678;138679;138786;138854;138864;138867;138973;138982;139003;139004;139005;139006;139131;139132;139207;139476;139868;139885;146181,31,8,23,0,1440,45%,55%
202223,AcademicYear,Multi-academy trust,ACADEMY TRANSFORMATION TRUST,2062,TR00015,7846852,10039859,East of England,138540;138996;139058;139226;139641;142027;142194;143904;144275;144499,10,10,3,7,0,0,10,397,7.4,SUPPMAT,SUPPMAT,27%,17%,-0.5,0.1,-1.2,-0.4,0.3,-1,-0.2,0.4,-0.8,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,48%,SUPPMAT,SUPPMAT,Average,Average,Average,138540;138996;139058;139226;139641;142027;142194;143904;144275;144499,10,3,7,0,397,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,ACORN EDUCATION TRUST,2070,TR01229,7654902,10058819,South West,139303;141148;141619;143009;143957;144333;144854;144995;145555;147649,10,10,6,4,0,2,8,180,7.6,19%,81%,5%,27%,1.1,2,0.1,1.3,2.2,0.4,0.4,1.3,-0.5,-0.7,1.5,-2.9,0.5,2.6,-1.7,-1.8,0.3,-3.9,1.5,2.5,0.4,1.5,2.5,0.5,0.9,1.9,-0.1,63%,37%,69%,Above average,Above average,Average,139303;140699;141148;141619;143006;143007;143009;143957;144333;144854;144995;145555;147649,13,9,4,0,276,17%,83%
202223,AcademicYear,Multi-academy trust,ACORN MULTI ACADEMY TRUST,2071,TR03028,9253218,10060881,South West,141523;141524;141525;141527;142046;142250,6,6,5,1,0,0,6,107,7.7,SUPPMAT,SUPPMAT,2%,14%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,141523;141524;141525;141527;142046;142250;148404,7,6,1,0,113,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,THE ACTIVE LEARNING TRUST LIMITED,2075,TR00024,7903002,10059514,East of England,139556;139803;139804;139843;140483;140573;140822;140823;140887;140888;141640;141702;143492;145401,14,14,3,11,0,0,14,731,7.5,31%,69%,12%,24%,0.5,1,0,0,0.4,-0.5,0.2,0.7,-0.2,0.2,1.1,-0.6,-0.4,0.4,-1.2,-0.2,0.6,-1,0.6,1.2,0,0.2,0.7,-0.4,0.4,1,-0.1,54%,49%,57%,Average,Average,Average,139556;139803;139804;139843;140483;140573;140822;140823;140887;140888;141640;141702;143492;145401,14,3,11,0,731,31%,69%
202223,AcademicYear,Multi-academy trust,AIM HIGH ACADEMY TRUST,2082,TR02571,8842629,10060712,North East,140584;143493;143524,3,3,2,1,0,0,3,137,7.7,39%,61%,2%,18%,0.7,1.7,-0.4,0.9,1.9,-0.1,1.6,2.6,0.6,-0.1,1.6,-1.8,-0.1,1.5,-1.8,0.1,1.7,-1.5,1.2,2.6,-0.2,1.6,2.9,0.3,2.6,3.9,1.3,69%,57%,77%,Average,Average,Above average,140584;143493;143524,3,2,1,0,137,39%,61%
202223,AcademicYear,Multi-academy trust,ALETHEIA ACADEMIES TRUST,2100,TR01850,7801612,10059352,South East,141578;141579;144098;144099;144910;146376,6,6,5,1,0,0,6,309,7.8,SUPPMAT,SUPPMAT,18%,15%,0.9,1.6,0.1,1.3,2,0.7,0.4,1.1,-0.2,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,67%,SUPPMAT,SUPPMAT,Above average,Above average,Average,136859;141578;141579;144098;144099;144910;146376;146872;148217;149123,10,9,1,0,499,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,ALL SAINTS CATHOLIC ACADEMY TRUST,2111,TR00047,7943555,10059575,East of England,146859;146903;146922,3,3,3,0,0,0,3,120,8.3,18%,82%,14%,13%,0.5,1.6,-0.6,0.8,1.9,-0.3,-0.2,0.8,-1.3,-1.5,1.1,-4.1,1.2,3.7,-1.4,-2.6,-0.1,-5.1,1,2.2,-0.3,0.7,1.9,-0.5,0.3,1.5,-0.9,69%,50%,73%,Average,Average,Average,146859;146903;146922;148990,4,4,0,0,152,15%,85%
