"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_ACAD_MATPTINC","NUMINST_ACAD_CONVERTER_MATPTINC","NUMINST_ACAD_SPONSOR_MATPTINC","NUMINST_ACAD_FREE_MATPTINC","NUMINST_ACAD_UTC_MATPTINC","NUMINST_ACAD_STUDIO_MATPTINC","NUMINST_ACAD_3_MATPTINC","NUMINST_ACAD_4_MATPTINC","NUMINST_ACAD_5PLUS_MATPTINC","NUMINST_AGEN_MATPTINC","NUMINST_AGEN_CONVERTER_MATPTINC","NUMINST_AGEN_SPONSOR_MATPTINC","NUMINST_AGEN_FREE_MATPTINC","NUMINST_AGEN_UTC_MATPTINC","NUMINST_AGEN_STUDIO_MATPTINC","NUMINST_AGEN_3_MATPTINC","NUMINST_AGEN_4_MATPTINC","NUMINST_AGEN_5PLUS_MATPTINC","TALLPUP_ACAD_MATPTINC","TALLSCR_ACAD_1618","TALLENT_ACAD_1618","TALLPPE_ACAD_1618","TALLPPE_GRD_ACAD_1618","TALLPUP_ACAD_DIS_MATPTINC","TALLSCR_ACAD_1618_DIS","TALLENT_ACAD_1618_DIS","TALLPPE_ACAD_1618_DIS","TALLPPE_GRD_ACAD_1618_DIS","perc_DIS_ACAD","TALLPUP_ACAD_NOTDIS_MATPTINC","TALLSCR_ACAD_1618_NOTDIS","TALLENT_ACAD_1618_NOTDIS","TALLPPE_ACAD_1618_NOTDIS","TALLPPE_GRD_ACAD_1618_NOTDIS","TALLPUP_AGEN_MATPTINC","TALLSCR_AGEN","TALLENT_AGEN","TALLPPE_AGEN","TALLPPE_GRD_AGEN","TALLPUP_AGEN_DIS_MATPTINC","TALLSCR_AGEN_DIS","TALLENT_AGEN_DIS","TALLPPE_AGEN_DIS","TALLPPE_GRD_AGEN_DIS","perc_DIS_AGEN","TALLPUP_AGEN_NOTDIS_MATPTINC","TALLSCR_AGEN_NOTDIS","TALLENT_AGEN_NOTDIS","TALLPPE_AGEN_NOTDIS","TALLPPE_GRD_AGEN_NOTDIS","INSTITUTIONS_INMAT","NUMINST_1618_INMAT","NUMINST_1618_CONVERTER_INMAT","NUMINST_1618_SPONSOR_INMAT","NUMINST_1618_FREE_INMAT","NUMINST_1618_UTC_INMAT","NUMINST_1618_STUDIO_INMAT","NUMINST_ACAD_INMAT","NUMINST_ACAD_CONVERTER_INMAT","NUMINST_ACAD_SPONSOR_INMAT","NUMINST_ACAD_FREE_INMAT","NUMINST_ACAD_UTC_INMAT","NUMINST_ACAD_STUDIO_INMAT","NUMINST_AGEN_INMAT","NUMINST_AGEN_CONVERTER_INMAT","NUMINST_AGEN_SPONSOR_INMAT","NUMINST_AGEN_FREE_INMAT","NUMINST_AGEN_UTC_INMAT","NUMINST_AGEN_STUDIO_INMAT","TALLPUP_1618_INMAT","TALLPUP_ACAD_INMAT","TALLPUP_ACAD_DIS_INMAT","TALLPUP_ACAD_NOTDIS_INMAT","TALLPUP_AGEN_INMAT","TALLPUP_AGEN_DIS_INMAT","TALLPUP_AGEN_NOTDIS_INMAT"
202223,"AcademicYear","Multi-academy trust","ACADEMIES ENTERPRISE TRUST",2053,"TR00008",6625091,10033736,"East of England","136208, 136147, 139276, 139048, 137188, 135651, 135652, 135957, 136753, 137138",10,1,9,0,0,0,0,0,10,10,1,9,0,0,0,0,0,10,"500","33406.42","1139.7","29.31","C","105","5710.5","221.8","25.75","C-","21%","382","26415.92","879.9","30.02","C","386","19090","677.5","28.18","Merit+","105","4730.5","185.5","25.5","Merit","27%","275","14137.5","486","29.09","Merit+","136208, 136147, 139276, 139048, 137188, 135651, 135652, 135957, 136753, 137138",10,1,9,0,0,0,10,1,9,0,0,0,10,1,9,0,0,0,820,500,105,382,386,105,275
202223,"AcademicYear","Multi-academy trust","ACADEMY TRANSFORMATION TRUST",2062,"TR00015",7846852,10039859,"East of England","139867, 142594, 139062, 139063",4,2,2,0,0,0,0,0,4,4,2,2,0,0,0,0,0,4,"112","6798","254.3","26.73","C-","22","1156","50.8","22.76","D+","20%","89","5602","200.5","27.94","C-","98","4914","176","27.92","Merit+","24","1112.5","49","22.7","Merit-","24%","64","3311.5","114","29.05","Merit+","139867, 142594, 139062, 139063",4,2,2,0,0,0,4,2,2,0,0,0,4,2,2,0,0,0,181,112,22,89,98,24,74
202223,"AcademicYear","Multi-academy trust","ACTIVATE LEARNING EDUCATION TRUST",15710,"TR02786",8707909,10060613,"South East","146375, 145945, 145155, 139268, 141111, 142024",6,0,2,0,4,0,0,0,6,6,0,2,0,4,0,0,0,6,"226","13284","476.7","27.87","C-","24","984","50.3","19.56","D","11%","196","11792","410.6","28.72","C","118","6570","228.5","28.75","Merit+","16","770","32","24.06","Merit","14%","99","5710","192.5","29.66","Merit+","146375, 145945, 145155, 139268, 141111, 142024",6,0,2,0,4,0,6,0,2,0,4,0,6,0,2,0,4,0,413,226,24,196,118,16,100
202223,"AcademicYear","Multi-academy trust","ALBAN ACADEMIES TRUST",16752,"TR01869",7523557,10058506,"East of England","146305, 136609, 137038",3,2,1,0,0,0,0,0,3,3,2,1,0,0,0,0,0,3,"341","38691","977.3","39.59","B","25","1872","59.3","31.57","C","7%","313","36491","909.7","40.11","B","102","3960.5","134","29.56","Merit+","12","500","21.5","23.26","Merit-","12%","89","3425.5","111.5","30.72","Dist-","146305, 136609, 137038",3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,378,341,25,313,102,12,89
202223,"AcademicYear","Multi-academy trust","ALDRIDGE EDUCATION",2096,"TR00628",5670663,10058195,"North West","146303, 136164, 139924, 135580",4,0,2,0,1,1,0,0,4,3,0,2,0,0,1,0,0,3,"122","6135","214.5","28.6","C","23","950","34","27.94","C-","19%","99","5185","180.5","28.73","C","60","3213.5","112.5","28.56","Merit+","10","385","16","24.06","Merit","17%","50","2828.5","96.5","29.31","Merit+","146303, 136164, 139924, 135580",4,0,2,0,1,1,4,0,2,0,1,1,3,0,2,0,0,1,268,122,23,99,60,10,50
202223,"AcademicYear","Multi-academy trust","ANTHEM SCHOOLS TRUST",2597,"TR00429",7468210,10058447,"East Midlands","134003, 136261, 137873, 138571",4,1,3,0,0,0,0,0,4,4,1,3,0,0,0,0,0,4,"285","22178","703.6","31.52","C","43","3182","95.6","33.28","C+","15%","241","18866","605","31.18","C","145","7093.5","248.5","28.55","Merit+","24","1279.5","43.5","29.41","Merit+","17%","121","5814","205","28.36","Merit+","134003, 136261, 137873, 138571",4,1,3,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,367,285,43,241,145,24,121
202223,"AcademicYear","Multi-academy trust","ARETÉ LEARNING TRUST",5622,"TR03123",9471240,10060960,"Yorkshire and the Humber","146969, 141930, 145090",3,2,1,0,0,0,0,1,2,3,2,1,0,0,0,0,1,2,"238","20936","651.9","32.12","C+","15","989","36.3","27.25","C-","6%","223","19947","615.6","32.4","C+","70","3062.5","97","31.57","Dist-","8","375","12","31.25","Dist-","11%","62","2687.5","85","31.62","Dist-","146969, 141930, 145090",3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,285,238,15,223,70,8,62
202223,"AcademicYear","Multi-academy trust","ARK SCHOOLS",2157,"TR00081",5112090,10044534,"London","131752, 135242, 135600, 146318, 139815, 138518, 135315, 135584, 138267, 138681, 141019, 135970, 139821",13,1,10,2,0,0,0,0,13,13,1,10,2,0,0,0,0,13,"770","75597","2193.5","34.46","C+","298","29811","859.9","34.67","C+","39%","463","44716","1303.6","34.3","C+","415","41657.5","1178.5","35.35","Dist","167","16195","471","34.38","Dist","40%","244","25062.5","697.5","35.93","Dist","131752, 135242, 135600, 146318, 139815, 138518, 135315, 135584, 138267, 138681, 141019, 135970, 139821",13,1,10,2,0,0,13,1,10,2,0,0,13,1,10,2,0,0,1234,770,298,463,415,167,244
202223,"AcademicYear","Multi-academy trust","ASPIRATIONS ACADEMIES TRUST",2186,"TR00103",7867577,10059468,"London","145121, 142126, 137009, 147443, 139711, 138499, 140886",7,1,4,0,0,2,0,1,6,7,1,4,0,0,2,0,1,6,"279","19713","691.6","28.5","C","76","4225","169","25","C-","27%","198","15120","508","29.76","C","139","6712.5","227.5","29.51","Merit+","43","1725.5","63.5","27.17","Merit+","31%","95","4972","163","30.5","Dist-","145121, 142126, 137009, 147443, 139711, 138499, 140886",7,1,4,0,0,2,7,1,4,0,0,2,7,1,4,0,0,2,357,279,76,198,139,43,95
202223,"AcademicYear","Multi-academy trust","ASTREA ACADEMY TRUST",16104,"TR03436",9791051,10061035,"Yorkshire and the Humber","137305, 136992, 146370",0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,2,"SUPP","SUPP","SUPP","SUPP","SUPP","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","SUPPMAT","123","7295.5","229","31.86","Dist-","20","971.5","32.5","29.89","Merit+","16%","103","6324","196.5","32.18","Dist-","137305, 136992, 146370",3,2,1,0,0,0,2,2,0,0,0,0,3,2,1,0,0,0,389,273,32,240,123,20,103
