RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,202,4000,137181,The UCL Academy,AC,0,0,2,13,20,5,130,97%,2%,95%,40%,38%,0%,0%,130,97%,13,19,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,98%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,202,4104,100049,Haverstock School,CY,0,0,1,17,27,6,58,86%,0%,86%,19%,19%,2%,0%,58,86%,17,27,6,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,15%,15%,SUPP,0%
1,202,4166,100050,Parliament Hill School,CY,1,0,2,10,18,1,108,86%,0%,86%,27%,25%,1%,0%,99,89%,9,16,1,2,9,56%,14,45,-17,3,0,0%,NA,NA,NA,NA,88%,0%,88%,24%,24%,SUPP,0%
1,202,4196,100051,Regent High School,CY,0,0,1,16,26,5,63,83%,0%,83%,21%,16%,0%,0%,57,82%,13,23,2,2,6,83%,47,86,7,1,0,0%,NA,NA,NA,NA,88%,0%,88%,20%,13%,0%,0%
1,202,4275,100052,Hampstead School,CY,0,0,3,8,17,-1,71,79%,0%,79%,24%,23%,0%,0%,71,79%,8,17,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,72%,0%,72%,25%,25%,0%,0%
1,202,4285,100053,Acland Burghley School,CY,1,0,3,7,14,0,111,77%,0%,77%,22%,19%,0%,0%,93,78%,4,12,-4,3,18,72%,28,50,5,2,0,0%,NA,NA,NA,NA,84%,0%,84%,14%,12%,0%,0%
1,202,4611,100054,The Camden School for Girls,VA,0,0,3,0,5,-5,232,91%,0%,90%,67%,63%,7%,1%,232,91%,0,5,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,88%,53%,50%,0%,0%
1,202,4652,100055,Maria Fidelis Catholic School FCJ,VA,0,0,3,9,25,-7,26,88%,4%,85%,35%,31%,4%,0%,26,88%,9,24,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,202,4688,100056,William Ellis School,VA,1,0,2,10,18,1,104,78%,1%,77%,22%,21%,2%,0%,89,91%,18,26,9,1,0,0%,NA,NA,NA,NA,15,0%,-38,-13,-62,5,70%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
3,202,4952,132838,LaSWAP Sixth Form,,NA,0,2,10,14,5,425,82%,1%,81%,24%,22%,1%,0%,383,86%,10,13,6,2,27,67%,23,41,4,2,15,0%,-38,-13,-62,5,82%,1%,82%,18%,17%,0%,0%
