"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_MATPTINC","NUMINST_FSM6CLA1A_MATPTINC","NUMINST_CONVERTER_MATPTINC","NUMINST_SPONSOR_MATPTINC","NUMINST_FREE_MATPTINC","NUMINST_3_MATPTINC","NUMINST_4PLUS_MATPTINC","TELIG_MATPTINC","PFSM6CLA1A_MATPTINC","PNOTFSM6CLA1A_MATPTINC","PEALGRP2_MATPTINC","PSEN_MATPTINC","PRWM_EXP_WGTAVG","PRWM_EXP_WGTAVG_FSM6CLA1A","PRWM_EXP_WGTAVG_NOTFSM6CLA1A","INSTITUTIONS_INMAT","NUMINST_INMAT","NUMINST_CONVERTER_INMAT","NUMINST_SPONSOR_INMAT","NUMINST_FREE_INMAT","TELIG_INMAT","PFSM6CLA1A_INMAT","PNOTFSM6CLA1A_INMAT"
202324,"AcademicYear","Multi-academy trust","ABBEY ACADEMIES TRUST",2044,"TR00261",7318714,10058308,"East Midlands","136354;140214;146279",3,3,1,2,0,0,3,141,"SUPPMAT","SUPPMAT","13%","13%","72%","SUPPMAT","SUPPMAT","136354;140214;146279",3,1,2,0,141,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","ABBEY MULTI ACADEMY TRUST",2046,"TR00002",7705552,10059141,"Yorkshire and the Humber","138824;140399;141521;144865;146306",5,5,3,2,0,0,5,187,"23%","77%","15%","14%","53%","28%","60%","138824;140399;141521;144865;146306",5,3,2,0,187,"23%","77%"
202324,"AcademicYear","Multi-academy trust","ACADEMIES ENTERPRISE TRUST",2053,"TR00008",6625091,10033736,"East of England","137378;137381;137405;138072;138074;138369;138410;138440;138588;138589;138674;138677;138678;138679;138786;138854;138864;138867;138973;138982;139003;139004;139005;139006;139131;139132;139207;139476;139868;139885;146181",31,31,8,23,0,0,31,1467,"45%","55%","33%","18%","76%","70%","81%","137378;137381;137405;138072;138074;138369;138410;138440;138588;138589;138674;138677;138678;138679;138786;138854;138864;138867;138973;138982;139003;139004;139005;139006;139131;139132;139207;139476;139868;139885;146181",31,8,23,0,1467,"45%","55%"
202324,"AcademicYear","Multi-academy trust","ACADEMY TRANSFORMATION TRUST",2062,"TR00015",7846852,10039859,"East of England","138540;138996;139058;139226;139641;142027;142194;143904;144275;144499",10,10,3,7,0,0,10,389,"SUPPMAT","SUPPMAT","27%","16%","53%","SUPPMAT","SUPPMAT","138540;138996;139058;139226;139641;142027;142194;143904;144275;144499",10,3,7,0,389,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","ACORN EDUCATION TRUST",2070,"TR01229",7654902,10058819,"South West","139303;141148;141619;143009;143957;144333;144854;144995;145555;147649",10,10,6,4,0,0,10,196,"27%","73%","4%","28%","60%","38%","68%","139303;140699;141148;141619;143006;143007;143009;143957;144333;144854;144995;145555;147649",13,9,4,0,285,"24%","76%"
202324,"AcademicYear","Multi-academy trust","ACORN MULTI ACADEMY TRUST",2071,"TR03028",9253218,10060881,"South West","141523;141524;141525;141527;142046;142250;148404",7,7,6,1,0,1,6,120,"25%","75%","3%","18%","40%","24%","46%","141523;141524;141525;141527;142046;142250;148404",7,6,1,0,120,"25%","75%"
202324,"AcademicYear","Multi-academy trust","EPWORTH EDUCATION TRUST",2072,"TR00022",8638158,10060562,"North West","140053;140087;146120;146177;146996;148325",6,6,5,1,0,4,2,200,"37%","63%","15%","26%","54%","42%","62%","140053;140087;146120;146177;146996;148325",6,5,1,0,200,"37%","63%"
202324,"AcademicYear","Multi-academy trust","THE ACTIVE LEARNING TRUST LIMITED",2075,"TR00024",7903002,10059514,"East of England","139556;139803;139804;139843;140483;140573;140822;140823;140887;140888;141640;141702;143492;145401",14,14,3,11,0,0,14,699,"SUPPMAT","SUPPMAT","11%","26%","61%","SUPPMAT","SUPPMAT","139556;139803;139804;139843;140483;140573;140822;140823;140887;140888;141640;141702;143492;145401",14,3,11,0,699,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","AIM HIGH ACADEMY TRUST",2082,"TR02571",8842629,10060712,"North East","140584;143493;143524",3,3,2,1,0,0,3,121,"38%","62%","2%","21%","65%","52%","73%","140584;143493;143524",3,2,1,0,121,"38%","62%"
202324,"AcademicYear","Multi-academy trust","ALETHEIA ACADEMIES TRUST",2100,"TR01850",7801612,10059352,"South East","141578;141579;144098;144099;144910;146376;148217",7,6,6,1,0,1,6,366,"23%","77%","21%","18%","63%","46%","68%","136859;141578;141579;144098;144099;144910;146376;146872;148217;149123",10,9,1,0,498,"22%","78%"
202324,"AcademicYear","Multi-academy trust","ALL SAINTS CATHOLIC ACADEMY TRUST",2111,"TR00047",7943555,10059575,"East of England","146859;146903;146922",3,3,3,0,0,0,3,118,"SUPPMAT","SUPPMAT","8%","14%","68%","SUPPMAT","SUPPMAT","146859;146903;146922;148990;149741;149742",6,6,0,0,204,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","ALL SAINTS CATHOLIC COLLEGIATE",2112,"TR00048",8709352,10060614,"West Midlands","140287;140296;140297;140298",4,4,4,0,0,0,4,150,"39%","61%","32%","21%","71%","59%","78%","140287;140296;140297;140298",4,4,0,0,150,"39%","61%"
202324,"AcademicYear","Multi-academy trust","AMBITIONS ACADEMIES TRUST",2128,"TR02316",7977940,10059666,"South West","138860;138990;141671;141745;145496;146796",6,6,1,5,0,0,6,439,"37%","63%","26%","16%","58%","45%","65%","138860;138990;141671;141745;145496;146796",6,1,5,0,439,"37%","63%"
202324,"AcademicYear","Multi-academy trust","AQUINAS CHURCH OF ENGLAND EDUCATION TRUST LIMITED",2143,"TR00322",7525735,10058512,"London","139984;140648;140729;141352;141529;141567;141896;143097;146826",9,9,7,2,0,0,9,361,"29%","71%","17%","29%","65%","41%","74%","139984;140648;140729;141352;141529;141567;141896;143097;146826",9,7,2,0,361,"29%","71%"
202324,"AcademicYear","Multi-academy trust","ARK SCHOOLS",2157,"TR00081",5112090,10044534,"London","135242;135584;135600;137114;137323;137331;137578;138397;138518;138680;139645;139699;139713;139815;139820;139830;141020;141021;141022;141752;142110;144083;146214",23,23,2,16,5,0,23,1401,"46%","54%","41%","17%","76%","69%","83%","135242;135584;135600;137114;137323;137331;137578;138397;138518;138680;139645;139699;139713;139815;139820;139830;141020;141021;141022;141752;142110;144083;146214",23,2,16,5,1401,"46%","54%"
