TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202324,Academic year,Multi-academy trust,Abbey Multi Academy Trust,2046,TR00002,7705552,10059141,Yorkshire and the Humber,137036;137083;144809,3,1,2,0,0,0,3,0,0,3,611,103.9,29%,71%,23%,11%,47,92%,0.14,0.02,0.25,46%,4.08,13%,21%,38%,35.7,-0.39,-0.6,-0.17,28%,3.02,3%,9%,24%,51.5,0.34,0.2,0.48,53%,4.51,17%,26%,43%,Above average,137036;137083;144809,3,1,2,0,0,0,611,29%,71%
202324,Academic year,Multi-academy trust,Academies Enterprise Trust,2053,TR00008,6625091,10033736,East of England,133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334,21,2,19,0,0,0,21,0,0,21,3948,103.1,35%,65%,16%,18%,40.6,92%,-0.35,-0.4,-0.3,37%,3.51,9%,15%,34%,32.4,-0.77,-0.85,-0.69,23%,2.77,4%,8%,28%,45,-0.12,-0.18,-0.07,45%,3.91,12%,19%,38%,Below average,133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334,21,2,19,0,0,0,3948,35%,65%
202324,Academic year,Multi-academy trust,Academy Transformation Trust,2062,TR00015,7846852,10039859,East of England,138918;139043;139058;139062;139063;139288;139578;139867;139937;142594,10,4,6,0,0,0,10,0,0,10,1659,102.5,30%,70%,15%,15%,39.9,95%,-0.3,-0.37,-0.23,31%,3.58,13%,22%,54%,31.5,-0.68,-0.81,-0.55,17%,2.76,7%,13%,39%,43.6,-0.13,-0.22,-0.05,37%,3.93,16%,26%,60%,Below average,138918;139043;139058;139062;139063;139288;139578;139867;139937;142594,10,4,6,0,0,0,1659,30%,70%
202324,Academic year,Multi-academy trust,The Active Learning Trust Limited,2075,TR00024,7903002,10059514,East of England,138177;138373;139272,3,1,2,0,0,0,3,0,0,3,668,102.1,29%,71%,7%,15%,37.1,97%,-0.51,-0.62,-0.4,33%,3.24,7%,12%,29%,27.2,-0.95,-1.15,-0.75,17%,2.38,4%,6%,24%,41.2,-0.33,-0.46,-0.2,40%,3.59,8%,15%,31%,Well below average,138177;138373;139272,3,1,2,0,0,0,668,29%,71%
202324,Academic year,Multi-academy trust,Education Partnership Trust,3016,TR00059,7950891,10059591,North West,138233;141028;142088,3,0,1,2,0,0,3,0,2,1,443,102.8,33%,67%,17%,12%,43.1,93%,-0.04,-0.18,0.1,40%,3.86,12%,20%,49%,38.2,-0.33,-0.57,-0.09,29%,3.4,7%,13%,42%,45.3,0.1,-0.07,0.26,46%,4.07,14%,23%,53%,Average,138233;141028;142088,3,0,1,2,0,0,443,33%,67%
202324,Academic year,Multi-academy trust,Arden Multi Academy Trust,5671,TR00078,7375267,10058364,West Midlands,135971;136333;136991;137008,4,3,1,0,0,0,4,0,0,4,863,105,21%,79%,8%,15%,50.3,96%,0.24,0.14,0.33,53%,4.38,23%,29%,41%,38.1,-0.49,-0.69,-0.28,24%,3.18,9%,15%,28%,53.7,0.43,0.33,0.54,60%,4.7,26%,33%,44%,Above average,135971;136333;136991;137008,4,3,1,0,0,0,863,21%,79%
202324,Academic year,Multi-academy trust,Ark Schools,2157,TR00081,5112090,10044534,London,131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061,21,1,15,5,0,0,21,0,0,21,3262,103.3,49%,51%,46%,19%,46.6,91%,0.19,0.14,0.24,48%,4.33,23%,35%,64%,42.2,-0.02,-0.09,0.05,39%,3.88,17%,26%,58%,50.8,0.39,0.32,0.46,56%,4.77,28%,43%,69%,Above average,131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061,21,1,15,5,0,0,3262,49%,51%
202324,Academic year,Multi-academy trust,Consilium Academies,15728,TR00082,9495671,10061209,North East,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,0,0,8,0,0,8,1201,103.3,40%,60%,17%,19%,37.7,92%,-0.72,-0.81,-0.64,28%,3.14,5%,8%,15%,28.8,-1.13,-1.27,-1,13%,2.39,2%,6%,14%,43.6,-0.44,-0.55,-0.34,38%,3.63,6%,9%,16%,Well below average,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,0,0,1201,40%,60%
202324,Academic year,Multi-academy trust,The Arthur Terry Learning Partnership,2166,TR00089,7730920,10034759,West Midlands,136986;138136;138137;144721;146493,5,4,1,0,0,0,5,0,0,5,912,104.7,32%,68%,9%,17%,43.4,96%,-0.37,-0.46,-0.28,41%,3.94,19%,30%,50%,32.4,-0.81,-0.97,-0.64,20%,2.85,6%,12%,38%,48.8,-0.16,-0.27,-0.04,51%,4.46,25%,38%,57%,Below average,136986;137209;138136;138137;144721;146493,6,5,1,0,0,0,1116,33%,67%
202324,Academic year,Multi-academy trust,The Two Counties Trust,16093,TR00097,7972029,10059639,East Midlands,137158;137981;142725;142741;144391;145109;145966;146451;147400,9,7,2,0,0,0,9,0,1,8,1956,103.7,28%,72%,4%,15%,42,97%,-0.33,-0.39,-0.26,39%,3.68,12%,19%,36%,31.3,-0.85,-0.97,-0.73,19%,2.66,4%,8%,21%,46.1,-0.13,-0.2,-0.05,47%,4.07,15%,23%,41%,Below average,137158;137981;142725;142741;144391;145109;145966;146451;147400,9,7,2,0,0,0,1956,28%,72%
