TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_ACAD_MATPTINC,NUMINST_ACAD_CONVERTER_MATPTINC,NUMINST_ACAD_SPONSOR_MATPTINC,NUMINST_ACAD_FREE_MATPTINC,NUMINST_ACAD_UTC_MATPTINC,NUMINST_ACAD_STUDIO_MATPTINC,NUMINST_ACAD_3_MATPTINC,NUMINST_ACAD_4_MATPTINC,NUMINST_ACAD_5PLUS_MATPTINC,NUMINST_AGEN_MATPTINC,NUMINST_AGEN_CONVERTER_MATPTINC,NUMINST_AGEN_SPONSOR_MATPTINC,NUMINST_AGEN_FREE_MATPTINC,NUMINST_AGEN_UTC_MATPTINC,NUMINST_AGEN_STUDIO_MATPTINC,NUMINST_AGEN_3_MATPTINC,NUMINST_AGEN_4_MATPTINC,NUMINST_AGEN_5PLUS_MATPTINC,TALLPUP_ACAD_MATPTINC,TALLSCR_ACAD_1618,TALLENT_ACAD_1618,TALLPPE_ACAD_1618,TALLPPE_GRD_ACAD_1618,VA_ACAD_1618,LCI_ACAD_1618,UCI_ACAD_1618,PB_ACAD_1618,TALLPUP_ACAD_DIS_MATPTINC,TALLSCR_ACAD_1618_DIS,TALLENT_ACAD_1618_DIS,TALLPPE_ACAD_1618_DIS,TALLPPE_GRD_ACAD_1618_DIS,perc_DIS_ACAD,VA_ACAD_1618_DIS,LCI_ACAD_1618_DIS,UCI_ACAD_1618_DIS,TALLPUP_ACAD_NOTDIS_MATPTINC,TALLSCR_ACAD_1618_NOTDIS,TALLENT_ACAD_1618_NOTDIS,TALLPPE_ACAD_1618_NOTDIS,TALLPPE_GRD_ACAD_1618_NOTDIS,VA_ACAD_1618_NOTDIS,LCI_ACAD_1618_NOTDIS,UCI_ACAD_1618_NOTDIS,TALLPUP_AGEN_MATPTINC,TALLSCR_AGEN,TALLENT_AGEN,TALLPPE_AGEN,TALLPPE_GRD_AGEN,VA_AGEN,LCI_AGEN,UCI_AGEN,PB_AGEN,TALLPUP_AGEN_DIS_MATPTINC,TALLSCR_AGEN_DIS,TALLENT_AGEN_DIS,TALLPPE_AGEN_DIS,TALLPPE_GRD_AGEN_DIS,perc_DIS_AGEN,VA_AGEN_DIS,LCI_AGEN_DIS,UCI_AGEN_DIS,TALLPUP_AGEN_NOTDIS_MATPTINC,TALLSCR_AGEN_NOTDIS,TALLENT_AGEN_NOTDIS,TALLPPE_AGEN_NOTDIS,TALLPPE_GRD_AGEN_NOTDIS,VA_AGEN_NOTDIS,LCI_AGEN_NOTDIS,UCI_AGEN_NOTDIS,INSTITUTIONS_INMAT,NUMINST_1618_INMAT,NUMINST_1618_CONVERTER_INMAT,NUMINST_1618_SPONSOR_INMAT,NUMINST_1618_FREE_INMAT,NUMINST_1618_UTC_INMAT,NUMINST_1618_STUDIO_INMAT,NUMINST_ACAD_INMAT,NUMINST_ACAD_CONVERTER_INMAT,NUMINST_ACAD_SPONSOR_INMAT,NUMINST_ACAD_FREE_INMAT,NUMINST_ACAD_UTC_INMAT,NUMINST_ACAD_STUDIO_INMAT,NUMINST_AGEN_INMAT,NUMINST_AGEN_CONVERTER_INMAT,NUMINST_AGEN_SPONSOR_INMAT,NUMINST_AGEN_FREE_INMAT,NUMINST_AGEN_UTC_INMAT,NUMINST_AGEN_STUDIO_INMAT,TALLPUP_1618_INMAT,TALLPUP_ACAD_INMAT,TALLPUP_ACAD_DIS_INMAT,TALLPUP_ACAD_NOTDIS_INMAT,TALLPUP_AGEN_INMAT,TALLPUP_AGEN_DIS_INMAT,TALLPUP_AGEN_NOTDIS_INMAT
202324,AcademicYear,Multi-academy trust,ACADEMIES ENTERPRISE TRUST,2053,TR00008,6625091,10033736,East of England,"139276, 136208, 137138, 136147, 139048, 135651, 135652, 135957, 137188, 136753",10,1,9,0,0,0,0,0,10,10,1,9,0,0,0,0,0,10,568,40516.75,1318.2,30.74,C,-0.06,-0.12,0,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,384,18680,647,28.87,Merit+,-0.02,-0.1,0.05,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,"139276, 136208, 137138, 136147, 139048, 135651, 135652, 135957, 137188, 136753",10,1,9,0,0,0,10,1,9,0,0,0,10,1,9,0,0,0,836,568,131,432,384,105,278
202324,AcademicYear,Multi-academy trust,ACADEMY TRANSFORMATION TRUST,2062,TR00015,7846852,10039859,East of England,"139062, 139063, 142594, 139867",4,2,2,0,0,0,0,0,4,4,2,2,0,0,0,0,0,4,144,7797,300.1,25.98,C-,-0.3,-0.42,-0.18,4,28,1529,63.8,23.97,D+,19%,-0.52,-0.79,-0.25,114,6068,231.3,26.23,C-,-0.24,-0.38,-0.1,125,5526,208.5,26.5,Merit,-0.21,-0.34,-0.08,4,19,685,28.5,24.04,Merit,15%,-0.36,-0.71,-0.02,106,4841,180,26.89,Merit+,-0.19,-0.32,-0.05,"139062, 139063, 142594, 139867",4,2,2,0,0,0,4,2,2,0,0,0,4,2,2,0,0,0,208,144,28,114,125,19,106
202324,AcademicYear,Multi-academy trust,ACTIVATE LEARNING EDUCATION TRUST,15710,TR02786,8707909,10060613,South East,"145945, 139268, 141111, 142024, 146375, 145155",6,0,2,0,4,0,0,0,6,5,0,2,0,3,0,0,0,5,283,17827,669.6,26.62,C-,-0.18,-0.27,-0.1,4,22,678,43.3,15.66,D-,8%,-0.56,-0.92,-0.19,237,16050,577,27.82,C-,-0.14,-0.23,-0.05,127,6257.5,232,26.97,Merit+,-0.2,-0.38,-0.03,4,12,432.5,23.5,18.4,Pass+,9%,-0.96,-1.57,-0.36,110,5445,197.5,27.57,Merit+,-0.12,-0.3,0.06,"145945, 139268, 141111, 142024, 146375, 145155",6,0,2,0,4,0,6,0,2,0,4,0,5,0,2,0,3,0,468,283,22,248,127,12,110
202324,AcademicYear,Multi-academy trust,ALBAN ACADEMIES TRUST,16752X,TR01869X,7523557,10058506,East of England,"137038, 146305, 136609",3,2,1,0,0,0,0,0,3,3,2,1,0,0,0,0,0,3,383,43716,1115,39.21,B,0.28,0.21,0.34,2,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,106,4030,146,27.6,Merit+,-0.16,-0.29,-0.02,4,14,568,21,27.05,Merit+,13%,0.08,-0.26,0.42,90,3352,121,27.7,Merit+,-0.2,-0.34,-0.05,"137038, 146305, 136609",3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,417,383,25,348,106,14,90
202324,AcademicYear,Multi-academy trust,ALDRIDGE EDUCATION,2096,TR00628,5670663,10058195,North West,"146303, 136164, 139924, 135580",4,0,2,0,1,1,0,0,4,3,0,2,0,0,1,0,0,3,102,5410,175,30.91,C,-0.02,-0.18,0.13,3,25,940,34.5,27.25,C-,25%,-0.26,-0.66,0.13,77,4470,140.5,31.81,C+,0.03,-0.14,0.2,45,2285,80.5,28.39,Merit+,0.04,-0.18,0.26,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,"146303, 136164, 139924, 135580",4,0,2,0,1,1,4,0,2,0,1,1,3,0,2,0,0,1,242,102,25,77,45,10,34
202324,AcademicYear,Multi-academy trust,ANTHEM SCHOOLS TRUST,2597,TR00429,7468210,10058447,East Midlands,"138571, 134003, 137873, 136261",4,1,3,0,0,0,0,0,4,4,1,3,0,0,0,0,0,4,282,21910,716.6,30.57,C,0,-0.08,0.08,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,111,4942,167.5,29.5,Merit+,0.15,0.02,0.29,2,10,311,11.5,27.04,Merit+,9%,0.08,-0.42,0.58,99,4526,153,29.58,Merit+,0.16,0.02,0.29,"138571, 134003, 137873, 136261",4,1,3,0,0,0,4,1,3,0,0,0,4,1,3,0,0,0,330,282,47,231,111,10,99
202324,AcademicYear,Multi-academy trust,ARCHWAY LEARNING TRUST,2363,TR00242,7875164,10052837,East Midlands,"143934, 136716, 139765, 137798",3,3,0,0,0,0,1,0,2,4,4,0,0,0,0,2,0,2,250,16663,606,27.5,C-,-0.27,-0.36,-0.18,4,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,116,5210,184.5,28.24,Merit+,-0.18,-0.33,-0.02,4,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,"143934, 136716, 139765, 137798",4,4,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,412,250,72,172,116,43,72
202324,AcademicYear,Multi-academy trust,ARETÉ LEARNING TRUST,5622,TR03123,9471240,10060960,Yorkshire and the Humber,"146969, 141930, 145090",3,2,1,0,0,0,0,0,3,3,2,1,0,0,0,0,0,3,204,19931,566.2,35.2,B-,0.11,0.02,0.2,2,17,1079,39.8,27.11,C-,8%,-0.19,-0.55,0.17,186,18752,523.4,35.83,B-,0.13,0.04,0.22,53,2345,75,31.27,Dist-,0.17,-0.07,0.41,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,"146969, 141930, 145090",3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,249,204,17,186,53,7,45
202324,AcademicYear,Multi-academy trust,ARK SCHOOLS,2157,TR00081,5112090,10044534,London,"131752, 135315, 135584, 138267, 138681, 141019, 146318, 135242, 135600, 139815, 138518, 135970, 139821",13,1,10,2,0,0,0,0,13,13,1,10,2,0,0,0,0,13,789,80006,2240.5,35.71,B-,0.14,0.1,0.19,2,302,29937,862.9,34.69,C+,38%,0.06,-0.01,0.14,474,48604,1340.8,36.25,B-,0.19,0.13,0.25,411,40602.5,1177,34.5,Dist,0.52,0.42,0.61,2,189,18620,544,34.23,Dist,46%,0.55,0.4,0.69,219,21592.5,624,34.6,Dist,0.49,0.36,0.62,"131752, 135315, 135584, 138267, 138681, 141019, 146318, 135242, 135600, 139815, 138518, 135970, 139821",13,1,10,2,0,0,13,1,10,2,0,0,13,1,10,2,0,0,1277,789,302,474,411,189,219
202324,AcademicYear,Multi-academy trust,ASCEND LEARNING TRUST,16676,TR01828,7569743,10058663,South West,"135804, 136911, 137650",3,2,1,0,0,0,0,1,2,3,2,1,0,0,0,0,1,2,209,16985.8,524.7,32.37,C+,0.08,-0.01,0.18,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,121,5320,175.5,30.31,Dist-,0.21,0.06,0.36,2,13,547.5,21.5,25.47,Merit,11%,-0.04,-0.48,0.4,106,4732.5,152,31.13,Dist-,0.25,0.09,0.41,"135804, 136911, 137650",3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,290,209,20,183,121,13,106
