RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,805,4001,139405,Dyke House Sports and Technology College,AC,0,0,3,16,42,-10,10,90%,0%,90%,20%,0%,10,90%,16,40,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,805,4603,140867,English Martyrs Catholic School and Sixth Form College,ACC,0,0,3,0,8,-8,87,77%,3%,74%,34%,0%,83,78%,-1,7,-9,3,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,67%,0%,67%,28%,0%
1,805,8000,130567,Hartlepool College of Further Education,General Further Education College,0,0,2,7,12,1,217,57%,6%,29%,SP,22%,5,SUPP,SUPP,SUPP,SUPP,3,29,69%,21,38,3,2,183,54%,4,11,-3,3,55%,1%,36%,SUPP,18%
LA,805,,,,,,,NA,5,NA,NA,314,63%,5%,43%,11%,15%,98,81%,2,NA,NA,NA,33,67%,19,NA,NA,NA,183,54%,4,NA,NA,NA,66%,7%,43%,12%,16%
1,806,4702,142382,Trinity Catholic College,ACC,0,0,1,21,33,8,41,95%,0%,95%,37%,0%,34,97%,19,32,5,1,7,86%,33,69,-3,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,806,6906,134223,The King's Academy,AC,0,0,3,-2,8,-12,65,78%,2%,74%,25%,3%,65,78%,-2,7,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,81%,SUPP,69%,13%,SUPP
1,806,6907,130908,Macmillan Academy,AC,0,0,3,5,13,-3,98,82%,2%,80%,27%,0%,85,80%,0,8,-8,3,13,92%,41,67,14,1,0,0%,NA,NA,NA,NA,75%,0%,75%,25%,0%
1,806,8007,130570,Middlesbrough College,General Further Education College,0,0,2,5,7,2,805,60%,2%,47%,4%,11%,209,73%,0,5,-5,3,159,67%,19,26,11,2,437,51%,2,6,-2,3,58%,2%,45%,3%,12%
1,806,8150,130571,The Northern School of Art,"Art, Design and Performing Arts College",0,0,1,17,23,10,141,72%,1%,71%,11%,1%,14,64%,-13,8,-34,3,0,0%,NA,NA,NA,NA,127,73%,21,29,12,2,68%,SUPP,SUPP,SUPP,SUPP
LA,806,,,,,,,NA,7,NA,NA,1150,66%,2%,56%,9%,8%,407,77%,1,NA,NA,NA,179,69%,21,NA,NA,NA,564,56%,7,NA,NA,NA,67%,2%,58%,11%,8%
1,807,4121,138845,Nunthorpe Academy,ACC,0,0,3,5,15,-5,64,84%,3%,80%,31%,2%,64,84%,5,14,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,0%,SUPP,SUPP,SUPP
1,807,8000,145227,Prior Pursglove and Stockton Sixth Form College,ACC1619,0,0,3,0,2,-2,770,75%,2%,72%,20%,1%,753,76%,0,2,-2,3,17,41%,-1,22,-24,3,0,0%,NA,NA,NA,NA,70%,0%,69%,17%,1%
LA,807,,,,,,,NA,1,NA,NA,834,76%,2%,72%,21%,1%,817,77%,1,NA,NA,NA,17,41%,-1,NA,NA,NA,0,0%,NA,NA,NA,NA,77%,3%,73%,22%,2%
1,808,4008,143063,Egglescliffe School,ACC,0,0,3,0,6,-6,148,79%,5%,72%,30%,2%,148,79%,0,6,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,33%,0%
1,808,4023,139318,Conyers School,ACC,0,0,2,12,20,3,102,89%,5%,82%,36%,2%,94,91%,12,20,3,2,8,63%,13,47,-21,3,0,0%,NA,NA,NA,NA,80%,SUPP,70%,40%,SUPP
1,808,8004,130576,The Education Training Collective,General Further Education College,0,0,4,-8,-4,-11,566,49%,2%,40%,8%,7%,177,78%,1,6,-4,3,31,35%,-11,6,-28,3,358,36%,-12,-6,-17,4,45%,2%,36%,5%,8%
LA,808,,,,,,,NA,-4,NA,NA,816,60%,3%,51%,15%,6%,419,81%,3,NA,NA,NA,39,41%,-6,NA,NA,NA,358,36%,-12,NA,NA,NA,62%,4%,53%,17%,5%
1,841,4603,137622,Carmel College,ACC,0,0,3,-1,5,-7,158,78%,5%,72%,32%,1%,152,79%,-1,5,-7,3,5,SUPP,SUPP,SUPP,SUPP,3,1,SUPP,SUPP,SUPP,SUPP,3,79%,0%,79%,21%,0%
1,841,8000,130656,Darlington College,General Further Education College,0,0,3,-7,0,-13,153,39%,2%,30%,1%,7%,9,33%,-25,1,-51,3,28,32%,-13,5,-31,3,116,41%,-5,3,-13,3,37%,0%,29%,SUPP,8%
