Column,Field Name,Label/Description
1,RECTYPE,Record type
2,ALPHAIND,Alphabetic index
3,LEA,Local authority number
4,ESTAB,Establishment number
5,URN,School unique reference number
6,SCHNAME,School/Local authority name
7,ADDRESS1,School address (1)
8,ADDRESS2,School address (2)
9,ADDRESS3,School address (3)
10,TOWN,School town
11,PCODE,School postcode
12,TELNUM,School telephone number 
13,PCON_CODE,School parliamentary constituency code
14,PCON_NAME,School parliamentary constituency name
15,URN_AC,Converter academy: URN 
16,SCHNAME_AC,Converter academy: name
17,OPEN_AC,Converter academy: open date
18,NFTYPE,School type
19,ICLOSE,Closed Flag
20,RELDENOM,Religious denomination
21,AGERANGE,Age range
22,TAB15,School published in secondary school (key stage 4) performance tables
23,TAB1618,School published in school and college (key stage 5) performance tables
24,TOTPUPS,Total number of pupils (including part-time pupils)
25,TPUPYEAR,Number of pupils aged 11 
26,TELIG,Published eligible pupil number
27,BELIG,Eligible boys on school roll at time of tests
28,GELIG,Eligible girls on school roll at time of tests
29,PBELIG,Percentage of eligible boys on school roll at time of tests
30,PGELIG,Percentage of eligible girls on school roll at time of tests
31,TKS1AVERAGE,Cohort level key stage 1 average points score [not populated in 2024]
32,TKS1GROUP_L,Number of pupils in cohort with low KS1 attainment [not populated in 2024]
33,PTKS1GROUP_L,Percentage of pupils in cohort with low KS1 attainment [not populated in 2024]
34,TKS1GROUP_M,Number of pupils in cohort with medium KS1 attainment [not populated in 2024]
35,PTKS1GROUP_M,Percentage of pupils in cohort with medium KS1 attainment [not populated in 2024]
36,TKS1GROUP_H,Number of pupils in cohort high KS1 attainment [not populated in 2024]
37,PTKS1GROUP_H,Percentage of pupils in cohort with high KS1 attainment [not populated in 2024]
38,TKS1GROUP_NA,No. of pupils in KS1 group not calculable [not populated in 2024]
39,PTKS1GROUP_NA,Percentage of pupils in KS1group not calculable [not populated in 2024]
40,TFSM6CLA1A,Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA for a day or more or who have been adopted from care)
41,PTFSM6CLA1A,Percentage of key stage 2 disadvantaged pupils
